0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,active_hand,class_numeric
10.570718,8.059594,7.8569913,6.315007,4.3231287,5.0536275,3.775154,5.801832,4.9007215,5.518524,6.9179387,5.368254,4.325111,5.445059,4.755436,4.8017497,5.0895386,5.8596296,4.847683,6.0651736,5.2923355,4.2239122,4.2978044,9.216865,1,0
0.91388667,14.160118,3.2587314,4.489981,5.3465896,1.7373897,5.663606,5.4153996,5.6851535,2.9951026,4.540041,5.1551943,5.4031944,5.382038,4.8956585,4.741203,5.6680827,5.3234143,5.2671857,5.1368318,4.9017177,4.712777,4.971624,5.342192,0,0
10.610217,8.1428585,7.9339204,6.255136,4.251086,5.1204515,3.7793798,5.8053703,4.832009,5.5948496,7.021446,5.441651,4.243769,5.3789253,4.776748,4.718916,5.172048,5.8666534,4.907003,6.0828104,5.284717,4.2148113,4.2592907,9.286232,1,0
0.90107393,14.161155,3.2718997,4.48159,5.349767,1.749283,5.657604,5.40224,5.6820655,3.0089612,4.554206,5.1411753,5.4151597,5.3695564,4.9085608,4.7305975,5.6538095,5.3342733,5.255193,5.1239605,4.892535,4.7231765,4.961881,5.3283076,0,0
10.590837,8.093151,7.887512,6.285421,4.2898407,5.0859027,3.8029542,5.8286314,4.8747787,5.5606446,6.9632297,5.3995824,4.293307,5.415935,4.751045,4.7690077,5.122292,5.8893003,4.8746805,6.0526814,5.263088,4.243509,4.2574344,9.239427,1,0
0.89669824,14.1591215,3.2750487,4.477999,5.3416038,1.7513094,5.6582675,5.399383,5.678535,3.0137131,4.5593,5.135585,5.421215,5.363608,4.914605,4.7245116,5.648629,5.3402667,5.2500834,5.118306,4.893704,4.7297964,4.9556665,5.3234224,0,0
10.595324,8.102478,7.895819,6.2776737,4.2808948,5.094386,3.8061292,5.8324223,4.8671236,5.5729136,6.9771614,5.4082136,4.2843165,5.408013,4.7515235,4.7596016,5.131502,5.8934093,4.8821993,6.0548306,5.259095,4.243951,4.2468777,9.249895,1,0
0.9110577,14.1669235,3.2638936,4.486999,5.357796,1.7470835,5.656215,5.4047904,5.6843634,2.9972916,4.542703,5.1516376,5.405755,5.380073,4.8983064,4.739318,5.6652775,5.3256164,5.2603283,5.1347938,4.890197,4.7142034,4.970338,5.3400183,0,0
10.593682,8.094329,7.88991,6.285006,4.285916,5.0910034,3.8082821,5.833044,4.8712134,5.5655656,6.9707494,5.4028387,4.292243,5.4110312,4.746219,4.767806,5.123284,5.895367,4.8799767,6.0489254,5.257228,4.2479486,4.2494354,9.243256,1,0
0.8984847,14.150362,3.2684624,4.4870863,5.339772,1.7486024,5.655517,5.401592,5.6671286,3.0099297,4.5553136,5.1389933,5.4183965,5.367379,4.91109,4.7269907,5.652587,5.3381596,5.252719,5.1221027,4.906365,4.726835,4.9595027,5.327465,0,0
10.580563,8.035079,7.8365607,6.321184,4.335448,5.0461817,3.8575463,5.868415,4.927251,5.5145206,6.8865643,5.3491383,4.352473,5.457431,4.719549,4.8295054,5.0631204,5.9379554,4.8359632,5.968385,5.213711,4.3116813,4.289195,9.135685,1,0
0.9641784,14.193305,3.2036672,4.536705,5.379201,1.7439263,5.631254,5.4228044,5.67774,2.9564013,4.4896307,5.190491,5.3527923,5.4311075,4.8537817,4.7894435,5.718748,5.2739806,5.289447,5.185991,4.8884406,4.6656003,5.018014,5.3919444,0,0
10.581123,8.066636,7.8624406,6.300588,4.311811,5.0655,3.8183866,5.8405786,4.899365,5.5462327,6.933459,5.3759823,4.320202,5.4376783,4.740875,4.795854,5.0954823,5.9037514,4.8547053,6.025822,5.2480063,4.263963,4.2661734,9.207744,1,0
0.9133074,14.161343,3.2593043,4.4896927,5.345452,1.7416912,5.662812,5.4111013,5.687372,2.9959428,4.541146,5.1522975,5.4038854,5.3807006,4.8984914,4.7397537,5.667179,5.3246408,5.261716,5.135556,4.898635,4.714681,4.9698343,5.3415146,0,0
10.572567,8.05322,7.849007,6.310381,4.325545,5.051443,3.8133438,5.8364434,4.9122486,5.530027,6.913036,5.362496,4.3332605,5.451379,4.7412233,4.8091006,5.0822434,5.8976717,4.841647,6.0250397,5.2538404,4.2623844,4.278098,9.194812,1,0
0.9577995,14.178632,3.2148492,4.532992,5.3536987,1.7505257,5.6258235,5.4232965,5.6641645,2.987314,4.5077453,5.160235,5.362062,5.412643,4.8734064,4.780432,5.7027297,5.282671,5.2792,5.1683745,4.904105,4.6802936,5.0074177,5.363721,0,0
10.576562,8.05729,7.853465,6.3070993,4.3206635,5.0568414,3.8210626,5.8422656,4.9085135,5.5345035,6.9178076,5.3668466,4.3295116,5.446355,4.739013,4.805417,5.0861177,5.905408,4.846257,6.018444,5.246193,4.2692127,4.2737045,9.192913,1,0
0.95138603,14.192205,3.2143624,4.525809,5.371748,1.7494926,5.6311474,5.4161887,5.675819,2.970277,4.5027747,5.176753,5.365399,5.418055,4.86637,4.777503,5.7059207,5.286423,5.2804646,5.172948,4.886825,4.677305,5.0067654,5.377832,0,0
10.573942,8.051889,7.8489513,6.3132687,4.326261,5.051388,3.8131413,5.8340607,4.9114876,5.525228,6.910664,5.362006,4.3343973,5.4505386,4.7406864,4.810432,5.0809183,5.8964996,4.842594,6.024246,5.255261,4.262533,4.2838693,9.190463,1,0
0.9648111,14.21286,3.1969657,4.5420485,5.3858824,1.7635072,5.608884,5.40978,5.6628475,2.962435,4.4904637,5.1823983,5.3525205,5.429796,4.85882,4.7905464,5.7179785,5.2731543,5.280352,5.184584,4.8738008,4.665459,5.018581,5.391647,0,0
10.569176,8.022268,7.8255663,6.338184,4.351607,5.029971,3.8282385,5.8358865,4.9343867,5.477765,6.853964,5.3365765,4.3630166,5.4701004,4.730893,4.8418665,5.051361,5.904688,4.8238697,5.9874144,5.2474737,4.286973,4.319478,9.127206,1,0
0.968317,14.210442,3.192479,4.5441217,5.3965216,1.7634962,5.6139107,5.4021077,5.6634192,2.9785678,4.487113,5.1678476,5.34931,5.43344,4.8598785,4.795425,5.720869,5.26814,5.275606,5.188041,4.8691683,4.6587048,5.0247903,5.389995,0,0
0.9343071,14.177611,3.2260473,4.5081353,5.3698936,1.7347963,5.645394,5.425372,5.69532,2.9567363,4.518152,5.1895275,5.3819537,5.403276,4.8727584,4.7610784,5.6904964,5.302806,5.283184,5.1582904,4.896471,4.6931314,4.990511,5.370563,0,0
10.561826,7.999794,7.806903,6.352554,4.37021,5.0142245,3.8456018,5.84767,4.954926,5.4511003,6.8135448,5.3168154,4.3854547,5.486955,4.7204175,4.865945,5.028666,5.918944,4.806523,5.9557743,5.2326717,4.311104,4.3338027,9.080455,1,0
0.9267115,14.178763,3.2515438,4.4974017,5.3769684,1.7404399,5.655022,5.415352,5.696286,2.9738522,4.524106,5.17356,5.389243,5.3978815,4.8804216,4.7545476,5.6837916,5.310216,5.2737646,5.1525955,4.888771,4.698443,4.985086,5.360278,0,1
10.684212,7.347096,6.978968,5.79238,5.2206774,4.8607907,4.6989717,5.8522606,5.829181,8.838483,10.444171,4.432884,4.739773,5.7380934,5.2899895,4.992217,4.391985,5.4657354,4.385699,3.362947,4.1466384,4.9052444,8.451278,4.9651995,1,1
0.9192212,14.176144,3.2596889,4.4903345,5.375427,1.7419147,5.6582623,5.411868,5.697588,2.980307,4.5317926,5.167396,5.3967524,5.390242,4.8876076,4.747197,5.6761427,5.317667,5.2685156,5.1450024,4.8881483,4.7058377,4.9778833,5.352618,0,1
10.693426,7.3421583,6.9695525,5.7893343,5.209441,4.8699946,4.7012196,5.8619647,5.838793,8.849904,10.436849,4.423026,4.7507677,5.7489696,5.280159,4.998561,4.395433,5.4691873,4.378528,3.3529477,4.135828,4.914036,8.459014,4.976,1,1
0.91264105,14.188721,3.2682748,4.481295,5.391592,1.7515378,5.6557083,5.4025126,5.7040677,2.9856906,4.5389695,5.161454,5.4031944,5.3820553,4.8956304,4.7386827,5.6695614,5.3255124,5.2594395,5.1369185,4.8763,4.7146697,4.9687424,5.3455276,0,1
10.726614,7.383707,6.9809766,5.7498436,5.1857414,4.841173,4.740573,5.893268,5.8696256,8.834783,10.39966,4.393235,4.752771,5.774265,5.252594,4.9899282,4.435044,5.508735,4.418302,3.374495,4.1421065,4.912475,8.419018,4.9821377,1,1
0.9254872,14.175818,3.253517,4.4959445,5.3750987,1.7377133,5.6576943,5.417021,5.697556,2.9726796,4.5248346,5.174864,5.3903203,5.397261,4.880245,4.753605,5.683013,5.3113127,5.274838,5.15199,4.8906736,4.6992025,4.9843264,5.3598757,0,1
