0,1,2,3,4,5,6,7,8,9,10,11,12,class_numeric
-0.94918203,4.4055767,4.2928042,3.9491541,3.3937256,4.317601,7.2808714,4.6109176,4.545378,3.8879423,4.27264,4.7201304,4.19266,0
-1.0484189,4.2820544,4.282877,4.062788,3.5168784,4.439967,7.141435,4.5164046,4.6003857,3.9327261,4.333368,4.60301,4.202739,1
9.624169,5.4970384,2.6198223,6.6986933,2.412031,5.4550757,6.796727,4.730083,2.4804027,6.6607585,4.555684,7.3032875,0.100984894,0
9.703269,5.3625736,2.3481133,6.414373,2.6277468,5.2386327,6.5345325,4.66441,2.2187877,6.602296,4.4235616,7.3572807,-0.16934896,1
-0.8901087,4.30675,4.2864065,3.9588382,3.476936,4.3465805,7.197866,4.538894,4.6038065,3.8231778,4.3901258,4.6915936,4.154803,0
-0.96182853,4.282595,4.3435793,3.997884,3.4354784,4.400775,7.198996,4.5984097,4.548714,3.719853,4.38386,4.7419806,4.0657163,1
9.590135,5.4668775,2.4819367,6.5734835,2.4892442,5.3403077,6.6632557,4.7110853,2.3264005,6.6852827,4.476593,7.361754,-0.057659417,0
9.770538,5.3454046,2.2725759,6.391112,2.6796138,5.207235,6.48565,4.6623898,2.1693463,6.626852,4.4349904,7.394954,-0.22214676,1
-0.7974324,4.3369904,4.3019123,4.0235066,3.380333,4.4398813,7.289098,4.705002,4.46484,3.8207607,4.2311707,4.815942,4.084334,0
-1.0861374,4.2944384,4.2863164,4.0124826,3.4774075,4.4013977,7.175552,4.5555415,4.5628715,3.884859,4.3464055,4.6472187,4.1867805,1
9.559937,5.567301,2.5778587,6.689748,2.3845265,5.437039,6.73433,4.6753726,2.4299471,6.7336063,4.4704943,7.380748,0.04700123,0
9.766107,5.338374,2.3105936,6.3274064,2.667747,5.226486,6.5143366,4.6823907,2.2101424,6.5857043,4.410231,7.3986435,-0.17879678,1
-0.931869,4.349213,4.312273,3.974549,3.4100497,4.3501687,7.2422843,4.6168914,4.5426755,3.822524,4.32728,4.739307,4.147312,0
-1.1120057,4.339769,4.249413,3.9525754,3.4327104,4.3469377,7.2161984,4.563604,4.5394177,3.9283097,4.2983756,4.62105,4.2396154,1
9.58427,5.5092087,2.5585,6.641746,2.4276295,5.4111285,6.7347813,4.7206955,2.3797343,6.686215,4.522676,7.3659396,-0.004194884,0
