0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class_numeric
8.691484,6.064034,4.7960634,5.2251253,6.92636,5.748384,2.8155143,3.5949044,3.1736078,6.4283195,6.3805103,5.893484,2.6563745,3.7808948,3.3308778,2.4136596,0
8.830302,6.0181956,4.841939,5.1882057,6.9581556,5.7535024,2.874814,3.5460253,3.1586275,6.5234385,6.3661113,5.9105783,2.6727629,3.7797654,3.4186459,2.3642747,1
-2.094734,8.006781,3.7551866,4.6072936,6.783282,4.0839643,2.9703622,4.4172106,5.461198,2.5959346,7.4785075,4.79452,5.6145673,5.1909227,6.436412,5.3096147,0
-2.2829025,8.013705,3.8854148,4.539981,6.7916193,4.053204,3.0889912,4.6000443,5.516418,2.8454576,7.3914633,4.877186,5.521321,5.0686784,6.36372,5.3796415,1
8.547309,6.1648955,4.7732964,5.18722,6.8384466,5.679972,2.7082841,3.711554,3.2587128,6.398329,6.372448,5.82426,2.711811,3.8159573,3.4038508,2.4496093,0
8.80368,6.0637484,4.880295,5.0854206,6.9170017,5.7022767,2.8462145,3.5993657,3.2327971,6.602284,6.3255486,5.8446493,2.7806358,3.8043146,3.586605,2.3275049,1
-2.192105,8.032462,3.7517786,4.5758395,6.7515473,4.055527,3.0066895,4.463531,5.51128,2.692111,7.447585,4.819689,5.605099,5.1922636,6.3606124,5.4035487,0
-2.2323773,8.060453,3.8769999,4.6178274,6.7513733,4.1326995,3.1347218,4.6363153,5.430818,2.8954842,7.362231,4.899467,5.567524,5.0860496,6.3550544,5.355876,1
8.486868,6.1908026,4.786323,5.201072,6.8921533,5.7699175,2.7858636,3.642701,3.2510808,6.3689933,6.400584,5.854227,2.7270794,3.8082654,3.309264,2.472723,0
8.88955,6.0062757,4.8778663,5.108408,6.9508433,5.7228827,2.8998656,3.544845,3.1783152,6.6158595,6.336592,5.894086,2.7383702,3.7972603,3.5354533,2.3082008,1
-2.0046663,8.062864,3.8315065,4.640253,6.7458305,4.108585,2.9070265,4.4624805,5.429894,2.631378,7.359365,4.8951797,5.5838976,5.1506715,6.4012737,5.2411194,0
-2.2420397,8.0186615,3.9192574,4.520089,6.7929044,4.0234942,3.0947762,4.615991,5.5384665,2.8740506,7.3746433,4.892929,5.481645,5.0545273,6.3496017,5.3693957,1
8.737045,6.0613084,4.8197474,5.186676,6.911166,5.7217073,2.813485,3.6042666,3.192517,6.4730606,6.3609924,5.8719697,2.6861093,3.7893333,3.4118915,2.3979099,0
8.897293,6.012822,4.8898053,5.133608,6.9792924,5.758921,2.9110417,3.5225587,3.181751,6.600183,6.3457804,5.9058595,2.7285206,3.76863,3.4919202,2.3055115,1
-2.1241999,8.066372,3.8184454,4.6212964,6.7350955,4.1051774,2.9996417,4.5187073,5.4477043,2.7498696,7.382501,4.8734865,5.5960145,5.163185,6.348221,5.323641,0
-2.2892976,7.9726973,3.9167304,4.5464215,6.843436,4.065479,3.1701996,4.6697617,5.5088778,2.9378998,7.4063416,4.8597813,5.505532,5.0365186,6.4052753,5.3177547,1
8.607693,6.145847,4.8044086,5.136147,6.8322515,5.639075,2.6926517,3.7257442,3.2616284,6.458235,6.350339,5.8001046,2.7518804,3.861775,3.4971743,2.4253683,0
8.615291,6.12279,4.8380017,5.052521,6.8117685,5.587595,2.6966007,3.7529798,3.2627518,6.5350337,6.364533,5.80308,2.8160336,3.9085872,3.6423466,2.4066646,1
-1.999896,8.071096,3.7290492,4.6933436,6.720649,4.168955,2.9235666,4.4035535,5.3632884,2.6247175,7.435262,4.8140755,5.686376,5.2487736,6.391832,5.267704,0
-2.1102035,8.052997,3.8508239,4.6384788,6.751872,4.1474094,3.0598872,4.5702868,5.4064364,2.840265,7.406314,4.844373,5.6043606,5.1519346,6.3376446,5.271185,1
7.4047036,6.760809,5.0298033,4.456013,6.608635,5.4873705,2.631574,4.022421,3.8376205,6.5833983,6.415407,5.30354,3.6989064,4.202034,4.3183427,2.4383268,0
7.2754483,6.830998,5.048574,4.4639792,6.554838,5.498624,2.6688612,3.9817762,3.866353,6.61365,6.482152,5.3029246,3.752925,4.344078,4.3420167,2.5224748,1
-1.2374157,8.468391,3.7715192,5.075619,6.406294,4.735241,2.423609,4.220578,4.734124,2.1799455,7.2815647,4.8891606,5.8554835,5.3401756,6.5055666,4.742675,0
-1.0802208,8.530597,3.7957668,5.15602,6.329544,4.8197827,2.329957,4.1536317,4.6299224,2.1656578,7.26156,4.9378543,5.876297,5.3692656,6.5266333,4.6333156,1
7.0343647,6.8722076,4.916622,4.633417,6.5207853,5.7152085,2.713158,4.030705,3.886262,6.2804947,6.539887,5.3988748,3.5500588,4.1804805,3.7591517,2.6547518,0
