0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,class_numeric
8.325709,-0.6567696,6.1195073,-2.9508717,2.9938946,4.7604456,2.045591,0.17097658,4.811363,5.4326606,7.859393,5.5416164,2.2370245,0.54801995,7.4184914,4.4802384,3.978444,5.694464,7.6741495,5.035119,7.44164,5.012295,5.9579,6.1478405,2.4026222,4.642828,4.376772,5.1849732,6.554358,4.6647806,0
8.330115,-0.60476756,6.1586704,-2.9647388,3.012612,4.840259,2.1063375,0.21931346,4.8297944,5.394762,7.8644085,5.5486517,2.1919217,0.4874904,7.4237943,4.515211,3.9317372,5.6922436,7.6951632,5.016257,7.5105705,5.0128636,5.9308724,6.1945877,2.393302,4.6628294,4.4052935,5.195487,6.546963,4.6578593,0
8.347008,-0.5874549,6.173515,-2.955331,3.0006313,4.8564386,2.120611,0.23374903,4.812156,5.3782535,7.8676705,5.5486684,2.1753573,0.47408947,7.429567,4.532168,3.9096465,5.6853185,7.7134714,5.0219083,7.5277667,4.9967694,5.913836,6.211745,2.3750026,4.6546197,4.422409,5.1842966,6.5626025,4.6749325,0
8.334655,-0.59351045,6.170072,-2.9672055,3.012682,4.852462,2.1178205,0.22957806,4.824143,5.3827257,7.8619056,5.5473166,2.179384,0.47614154,7.4232707,4.526631,3.9177554,5.691593,7.7035866,5.012015,7.524155,5.010691,5.9195414,6.2084994,2.3879158,4.66603,4.4158196,5.1975017,6.549374,4.6601896,0
8.360277,-0.5672094,6.1726975,-2.933789,2.9730868,4.9280186,2.1455846,0.24482696,4.77904,5.3749714,7.878537,5.5535,2.168499,0.4583873,7.4386396,4.537919,3.868337,5.6783676,7.7297616,5.0341034,7.573211,4.981087,5.9113374,6.2282906,2.3621862,4.637007,4.428528,5.1660433,6.590946,4.695246,0
8.404287,-0.5857948,6.144728,-2.8536053,2.8857372,4.8818293,2.0753462,0.21585774,4.6799,5.395021,7.8842463,5.5519643,2.193833,0.53777987,7.4517903,4.526341,3.8753488,5.664717,7.7488947,5.096182,7.490904,4.921547,5.917091,6.1834025,2.3262002,4.564772,4.4273453,5.0975924,6.671465,4.7633905,0
8.37477,-0.5764231,6.1574492,-2.9066546,2.943671,4.916043,2.1223774,0.22986747,4.7476172,5.387355,7.8857846,5.5552855,2.1818874,0.4850736,7.446992,4.528902,3.8683896,5.670192,7.73656,5.056328,7.54824,4.9607882,5.91904,6.2135296,2.3503914,4.6115146,4.423369,5.141857,6.619134,4.717507,0
8.37187,-0.6077822,6.133032,-2.8931582,2.9316716,4.8342886,2.0651164,0.19621147,4.7325835,5.411439,7.8868737,5.556145,2.2086396,0.54235417,7.448897,4.5058823,3.9030004,5.667178,7.72492,5.069772,7.4744263,4.956885,5.9390564,6.1757755,2.3574462,4.6002636,4.403628,5.1329675,6.631344,4.721972,0
8.3731985,-0.58926475,6.147046,-2.9020658,2.9392238,4.8854003,2.1020098,0.21574287,4.739836,5.3975935,7.886452,5.555747,2.193274,0.5057464,7.447758,4.5190673,3.8804603,5.668818,7.731765,5.0611954,7.5226197,4.959804,5.927458,6.1998672,2.3534122,4.6076074,4.414978,5.13895,6.6237607,4.718634,0
8.354358,-0.62924254,6.1270328,-2.9151552,2.9559965,4.7925124,2.050697,0.18461034,4.7632895,5.4198675,7.8718653,5.5469465,2.2211237,0.5509818,7.434724,4.4965415,3.938256,5.6793814,7.7036843,5.057708,7.450403,4.9783254,5.9450197,6.1600666,2.3744562,4.6145973,4.394209,5.152948,6.600123,4.7006683,0
8.365502,-0.6442462,6.119539,-2.8917298,2.92592,4.714116,1.9953065,0.17453818,4.730014,5.4225264,7.8489447,5.5271997,2.23193,0.6095277,7.4216666,4.4971714,3.9750118,5.687533,7.7003922,5.081079,7.365488,4.965853,5.9388714,6.1189866,2.3675084,4.58552,4.3980045,5.134407,6.612085,4.7248244,0
8.369231,-0.64779055,6.1193395,-2.8832884,2.9158766,4.6950603,1.9802237,0.17363767,4.719181,5.4220533,7.8412514,5.5210004,2.2338378,0.6257211,7.41716,4.498411,3.986769,5.691052,7.6992946,5.0881953,7.339127,4.961176,5.9357085,6.1073775,2.3640313,4.575856,4.4004583,5.1285563,6.614386,4.732782,0
8.070088,-0.050937224,7.1261005,0.32233313,1.866641,10.524508,2.8255825,3.484208,5.155029,6.8623195,6.6807985,5.059639,3.3767047,0.19065687,7.3058105,3.777111,9.030735,7.3431687,7.674875,5.195324,0.96128774,5.2019053,7.132732,2.337703,3.1062453,4.0765347,4.0046988,4.8164883,6.7021465,4.589687,1
8.0390215,-0.041877404,7.1569924,0.31434038,1.8210742,10.546,2.8223352,3.4904616,5.1744337,6.886203,6.677412,5.0420756,3.3745823,0.17144042,7.2885633,3.7822216,9.042153,7.316706,7.668848,5.2171993,0.943821,5.213062,7.136951,2.351037,3.0975711,4.0777,4.01204,4.841074,6.6862082,4.591619,1
8.065606,-0.05925618,7.1245174,0.32825226,1.8576305,10.531484,2.82906,3.4804544,5.1554036,6.8665237,6.681931,5.06123,3.3794785,0.18348974,7.315122,3.777802,9.023257,7.3357415,7.6770782,5.1862803,0.9557637,5.2077603,7.130401,2.335078,3.1131997,4.080039,4.0046973,4.817776,6.711627,4.5992975,1
8.0691,-0.07926683,7.1174345,0.35084155,1.8530153,10.548267,2.8432705,3.4502995,5.159256,6.874605,6.675172,5.0622153,3.3796027,0.16769406,7.3324633,3.76557,9.013111,7.3212175,7.7104936,5.1671147,0.9348615,5.228623,7.097449,2.2995405,3.1356018,4.108482,4.0089974,4.8122816,6.7285395,4.610609,1
8.113597,-0.07347556,7.0787926,0.3400199,1.9342567,10.498374,2.8362443,3.492902,5.1275167,6.8317556,6.6821404,5.0870967,3.3755374,0.22022845,7.3323536,3.7690575,9.004478,7.376118,7.653265,5.1599894,0.9903926,5.174084,7.1533227,2.3382294,3.1190462,4.0515823,3.9981225,4.7792425,6.7298527,4.58653,1
8.133214,-0.080793604,7.0582385,0.34476116,1.9617133,10.48424,2.839408,3.4965093,5.1159883,6.816881,6.6814117,5.0985937,3.3720243,0.23579966,7.342482,3.7657506,8.994785,7.392927,7.6448874,5.1451635,1.0051706,5.160321,7.1613135,2.3364894,3.1219897,4.0399857,3.9961588,4.763276,6.740387,4.5793705,1
