0,1,2,3,4,5,6,7,8,9,10,11,12,13,active_hand
10.73371,6.7862406,6.349757,2.9917004,4.521944,4.5779796,6.135117,6.3785396,4.256761,1.6813143,4.5598235,3.1431768,4.9539723,-4.41747,1
1.8982042,12.69096,5.619913,6.4078584,9.738343,5.4153943,5.6106806,5.069466,3.6571255,5.140278,6.0564365,5.722321,4.243837,5.4979224,0
10.690176,6.7738366,6.338306,3.052864,4.5760455,4.5738397,6.1208096,6.3249993,4.258846,1.6532583,4.5680623,3.1889107,4.9502788,-4.5665193,1
1.8936893,12.69526,5.6176925,6.4103746,9.730042,5.419517,5.6179957,5.064488,3.6644883,5.13915,6.0585823,5.7201095,4.2419505,5.503841,0
10.721608,6.7857857,6.3475976,3.0063667,4.5360074,4.5723023,6.1266108,6.3649883,4.261849,1.6660817,4.559074,3.1538372,4.9487295,-4.4552293,1
1.8764708,12.709456,5.6294436,6.412737,9.714226,5.4074535,5.635584,5.0485177,3.6814296,5.1525135,6.073311,5.705818,4.227716,5.520453,0
10.719394,6.7902136,6.3481803,3.007816,4.5338173,4.565151,6.1242013,6.370924,4.2675037,1.6594555,4.5522447,3.150106,4.944559,-4.4627566,1
1.8889076,12.70096,5.6217804,6.4113107,9.722429,5.416522,5.6235404,5.0605383,3.6695564,5.1412754,6.064948,5.7144933,4.236504,5.508238,0
10.747678,6.7631025,6.3689485,2.9785328,4.5275607,4.5829883,6.130035,6.34922,4.2419124,1.6607672,4.5772276,3.153847,4.958329,-4.4261937,1
1.8785144,12.7078705,5.629909,6.4113507,9.716697,5.4073267,5.632825,5.050258,3.6789765,5.1524925,6.0721416,5.7069135,4.2287145,5.518447,0
10.8010235,6.697446,6.4003158,2.9243643,4.5399632,4.6481857,6.1426,6.272046,4.17644,1.6856652,4.6546288,3.1871374,4.999087,-4.3126874,1
1.948405,12.641562,5.576699,6.4070244,9.794299,5.4538627,5.5573378,5.1191797,3.6040938,5.10105,6.0082684,5.7697086,4.290738,5.4468284,0
10.82711,6.6963053,6.4288993,2.8976552,4.4810624,4.617312,6.1627455,6.3246565,4.1739902,1.663943,4.626749,3.1357443,4.997154,-4.319561,1
1.9259154,12.664378,5.5995946,6.413241,9.7658825,5.4396167,5.5821066,5.096906,3.6289396,5.1146584,6.030544,5.7481866,4.2696166,5.470132,0
10.777468,6.7392073,6.3739023,2.9500737,4.5191407,4.6249876,6.156505,6.3335323,4.204701,1.7090683,4.612804,3.1586335,4.9882507,-4.3110538,1
1.9306738,12.660162,5.596114,6.4123235,9.772074,5.44176,5.5766807,5.101497,3.62373,5.111546,6.026585,5.751906,4.2732034,5.4652643,0
10.800355,6.715793,6.393702,2.9258082,4.5188265,4.6373878,6.155705,6.3097143,4.1860547,1.7007935,4.6336694,3.165806,4.997371,-4.2965584,1
1.924095,12.665747,5.5997505,6.4104266,9.765961,5.436711,5.58339,5.0950437,3.6301448,5.117917,6.031916,5.746613,4.26794,5.4717364,0
10.7536545,6.7593236,6.3562317,2.975907,4.5276766,4.613228,6.1508603,6.348086,4.2233877,1.7093465,4.595646,3.1592307,4.9786077,-4.3447423,1
1.9298643,12.656408,5.596803,6.411082,9.778432,5.4388204,5.5753775,5.100489,3.622749,5.115564,6.0230646,5.75489,4.2759223,5.4656115,0
10.788218,6.6886907,6.385247,2.945112,4.584071,4.683778,6.142982,6.2299285,4.161209,1.7110416,4.6870914,3.228676,5.0216274,-4.286893,1
1.9374002,12.646942,5.5823455,6.399137,9.792246,5.4456296,5.5652194,5.1076736,3.6122463,5.1164117,6.0142183,5.763107,4.2838035,5.456978,0
1.9413638,12.640956,5.5844164,6.405671,9.800519,5.4452724,5.5604496,5.1115923,3.6078475,5.1123195,6.0083466,5.768563,4.2890673,5.4530663,0
10.791547,6.6564717,6.386533,2.949473,4.6253304,4.729723,6.143331,6.1658897,4.1277404,1.7284476,4.7389035,3.27316,5.0497384,-4.2643266,1
1.8929607,12.695891,5.6265283,6.3803864,9.733528,5.4187155,5.6142564,5.0635953,3.661557,5.148181,6.062314,5.716187,4.2375965,5.5028663,0
10.564286,6.6665077,6.299162,3.2231548,4.7596717,4.6465178,6.085497,6.083996,4.1809793,1.6417274,4.7006674,3.3533978,4.9616914,-5.028317,1
1.9121529,12.67571,5.6089907,6.407807,9.751268,5.4307895,5.596456,5.083018,3.6432533,5.1250806,6.041658,5.7370586,4.2586336,5.484069,0
10.583266,6.712796,6.288869,3.2049015,4.728234,4.625492,6.1057,6.1393957,4.219493,1.6639253,4.654305,3.3282032,4.968233,-5.0000057,1
1.917675,12.671746,5.6048565,6.40758,9.758112,5.4328713,5.590153,5.088667,3.63684,5.1229157,6.0378075,5.740884,4.262331,5.4781203,0
10.56085,6.6756463,6.291816,3.2297928,4.760273,4.6400814,6.0882845,6.091376,4.190018,1.64651,4.69248,3.3580136,4.9607477,-5.036436,1
1.9291794,12.662066,5.5977054,6.409887,9.769151,5.4409947,5.5785136,5.100141,3.625155,5.1120434,6.02853,5.750172,4.2715526,5.4666247,0
10.57498,6.681612,6.296154,3.2128778,4.751007,4.6464963,6.098424,6.101866,4.191432,1.6564386,4.6859374,3.3471546,4.9716043,-5.027428,1
1.9546494,12.631856,5.5690184,6.392195,9.806353,5.4585495,5.5488896,5.125054,3.5957534,5.106207,5.9988656,5.7787027,4.2995176,5.4398685,0
10.579601,6.5948653,6.308072,3.2097895,4.768786,4.695668,6.0688057,6.0141993,4.1148763,1.6209159,4.7723823,3.3701339,4.965294,-5.0095325,1
1.9481578,12.626847,5.5720825,6.390318,9.814862,5.4356046,5.5471644,5.1170774,3.5947204,5.12958,5.9942255,5.7826304,4.303095,5.4429126,0
10.582214,6.584844,6.31198,3.205678,4.7675266,4.7002063,6.066337,6.0056663,4.1065574,1.6172493,4.782358,3.3695538,4.965031,-5.002152,1
1.9247594,12.665506,5.5991645,6.4107842,9.766856,5.436317,5.582797,5.095851,3.629278,5.117406,6.0316057,5.74689,4.2681947,5.470911,0
10.538986,6.647263,6.2801976,3.2558103,4.7922764,4.6492,6.0804067,6.0491915,4.1652036,1.6339766,4.720114,3.381556,4.9605713,-5.072582,1
1.9268248,12.664095,5.5990477,6.4120493,9.768446,5.437307,5.5808296,5.097945,3.6273942,5.1149936,6.030123,5.748359,4.2696605,5.468831,0
