0,1,2,3,4,5,6,7,8,9,10,11,active_hand
9.623263,4.7673125,5.55409,6.442285,4.5052137,3.6171665,4.5811253,3.2801316,6.793077,-4.442289,5.608052,2.3889592,1
1.4721826,14.192662,3.330745,5.6655164,9.17036,4.729025,5.1822557,4.9974203,4.601088,3.673083,5.812966,5.239748,0
9.586627,4.710307,5.5226994,6.3274612,4.5487857,3.6015217,4.608098,3.3499622,6.9074473,-4.490501,5.7096567,2.2578583,1
1.4995587,14.172249,3.3544095,5.6340733,9.13559,4.758498,5.174987,4.9694486,4.582599,3.6468155,5.798698,5.2664776,0
9.598838,4.7431345,5.5339117,6.3972363,4.52449,3.6068404,4.6020613,3.310496,6.839412,-4.4585104,5.649742,2.3395529,1
1.5004009,14.169498,3.35351,5.635312,9.138514,4.7583575,5.1737394,4.9691515,4.578227,3.645347,5.797945,5.267533,0
9.595758,4.7408986,5.532459,6.392906,4.527932,3.6064527,4.6083927,3.3156774,6.845554,-4.4633417,5.656329,2.3335629,1
1.5034281,14.167231,3.3597481,5.632394,9.135636,4.761379,5.168956,4.9660864,4.575952,3.6422422,5.7892656,5.2707286,0
9.620905,4.774438,5.557131,6.4239984,4.5347686,3.6187794,4.615066,3.3268356,6.8263927,-4.423035,5.6459618,2.3604388,1
1.4918727,14.178607,3.347395,5.64281,9.145514,4.7505393,5.1762786,4.9775877,4.587201,3.6538918,5.801866,5.2591515,0
9.677028,4.8508615,5.6185813,6.468863,4.5571775,3.6070116,4.681545,3.3988395,6.8086247,-4.3483644,5.6882753,2.3918347,1
1.4642316,14.200765,3.3295743,5.679372,9.188249,4.7178764,5.1804423,5.0053897,4.609718,3.6801848,5.8107405,5.232806,0
9.640774,4.80011,5.5750294,6.472754,4.5359898,3.638432,4.604806,3.313013,6.7811522,-4.396478,5.608885,2.4117007,1
1.4692632,14.201314,3.3300474,5.6695156,9.174985,4.7255416,5.1811066,5.0002437,4.609385,3.6753926,5.8117957,5.237518,0
9.664067,4.828428,5.59493,6.5050135,4.5401316,3.65071,4.6020947,3.3108108,6.757246,-4.3608184,5.58996,2.4433098,1
1.4540695,14.214753,3.3157575,5.685234,9.191781,4.7104845,5.1900043,5.0153728,4.622332,3.6903026,5.825934,5.222864,0
9.659234,4.8255954,5.5907946,6.4913244,4.5450306,3.6476712,4.613376,3.3204741,6.769305,-4.3588815,5.6010437,2.4287293,1
1.4447721,14.225559,3.3102531,5.699238,9.207177,4.6978307,5.1874056,5.0250797,4.6334667,3.699114,5.8253,5.2136235,0
9.620372,4.7750115,5.5491333,6.4692183,4.5183315,3.6361816,4.575846,3.2804585,6.7572303,-4.4161277,5.5847073,2.4279037,1
1.4516437,14.223649,3.320084,5.696002,9.205632,4.7019477,5.1881647,5.017988,4.6339626,3.6926012,5.8226576,5.2200074,0
