class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
alpha-classes,0.06370056497175142,Spf,True,True,pca,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.06581920903954802,Spf,True,True,umap,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.18093220338983051,Spf,True,True,pca,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.11765536723163841,Spf,True,True,umap,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.17344632768361581,Spf,True,True,pca,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.12104519774011299,Spf,True,True,umap,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.17429378531073447,Spf,True,True,pca,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.1115819209039548,Spf,True,True,umap,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.18107344632768363,Spf,True,True,pca,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.10861581920903955,Spf,True,True,umap,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.1731638418079096,Spf,True,True,pca,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.11779661016949153,Spf,True,True,umap,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.17076271186440678,Spf,True,True,pca,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.11299435028248588,Spf,True,True,umap,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.16850282485875706,Spf,True,True,pca,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.10720338983050848,Spf,True,True,umap,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.12556497175141243,Spf,True,False,None,None,75,1024,distilbert-base-uncased,2
alpha-classes,0.06836158192090395,Spf,False,True,pca,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.051694915254237285,Spf,False,True,umap,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.10833333333333334,Spf,False,True,pca,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.07457627118644068,Spf,False,True,umap,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.1230225988700565,Spf,False,True,pca,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.05875706214689266,Spf,False,True,umap,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.15875706214689267,Spf,False,True,pca,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.05847457627118644,Spf,False,True,umap,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.23940677966101695,Spf,False,True,pca,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.05649717514124294,Spf,False,True,umap,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.1865819209039548,Spf,False,True,pca,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.045480225988700565,Spf,False,True,umap,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.23135593220338982,Spf,False,True,pca,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.05056497175141243,Spf,False,True,umap,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.22231638418079097,Spf,False,True,pca,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.04957627118644068,Spf,False,True,umap,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.1652542372881356,Spf,False,False,None,None,72,1024,distilbert-base-uncased,2
