class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
alpha-classes,0.03516949152542373,Spf,True,True,pca,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spf,True,True,umap,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04703389830508475,Spf,True,True,pca,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04152542372881356,Spf,True,True,umap,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.037146892655367234,Spf,True,True,pca,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03855932203389831,Spf,True,True,umap,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03587570621468927,Spf,True,True,pca,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.034887005649717515,Spf,True,True,umap,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03587570621468927,Spf,True,True,pca,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03827683615819209,Spf,True,True,umap,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03912429378531074,Spf,True,True,pca,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03587570621468927,Spf,True,True,umap,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.040536723163841805,Spf,True,True,pca,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.037570621468926556,Spf,True,True,umap,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04124293785310734,Spf,True,True,pca,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.046045197740112995,Spf,True,True,umap,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.041101694915254235,Spf,True,False,None,None,75,1024,prajjwal1/bert-tiny,2
alpha-classes,0.018361581920903956,Spf,False,True,pca,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.039265536723163845,Spf,False,True,umap,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03954802259887006,Spf,False,True,pca,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.039265536723163845,Spf,False,True,umap,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04011299435028248,Spf,False,True,pca,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.024293785310734464,Spf,False,True,umap,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04096045197740113,Spf,False,True,pca,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03912429378531074,Spf,False,True,umap,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.037570621468926556,Spf,False,True,pca,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03502824858757062,Spf,False,True,umap,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.034887005649717515,Spf,False,True,pca,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.036016949152542374,Spf,False,True,umap,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.037005649717514126,Spf,False,True,pca,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.036016949152542374,Spf,False,True,umap,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.038700564971751415,Spf,False,True,pca,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.034322033898305085,Spf,False,True,umap,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03305084745762712,Spf,False,False,None,None,72,1024,prajjwal1/bert-tiny,2
