class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
all-classes,0.5488865323435843,AHpf,True,True,kpca,rbf,1,2
all-classes,0.5829268292682926,AHpf,True,True,kpca,rbf,1,3
all-classes,0.5673382820784729,AHpf,True,True,kpca,rbf,1,4
all-classes,0.5854718981972429,AHpf,True,True,kpca,rbf,1,5
all-classes,0.5758218451749735,AHpf,True,True,kpca,rbf,1,6
all-classes,0.587221633085896,AHpf,True,True,kpca,rbf,1,7
all-classes,0.5811240721102863,AHpf,True,True,kpca,rbf,1,8
all-classes,0.5879109225874868,AHpf,True,True,kpca,rbf,1,9
all-classes,0.5839342523860022,AHpf,True,True,kpca,rbf,1,10
all-classes,0.5914634146341463,AHpf,True,True,kpca,rbf,1,11
all-classes,0.5871155885471898,AHpf,True,True,kpca,rbf,1,12
all-classes,0.5924178154825026,AHpf,True,True,kpca,rbf,1,13
all-classes,0.5892895015906681,AHpf,True,True,kpca,rbf,1,14
all-classes,0.5941675503711559,AHpf,True,True,kpca,rbf,1,15
all-classes,0.506574761399788,AHpf,True,True,kpca,sigmoid,1,1
all-classes,0.5006892895015906,AHpf,True,True,kpca,sigmoid,1,2
all-classes,0.5096500530222694,AHpf,True,True,kpca,sigmoid,1,3
all-classes,0.5100742311770944,AHpf,True,True,kpca,sigmoid,1,4
all-classes,0.510763520678685,AHpf,True,True,kpca,sigmoid,1,5
all-classes,0.5118239660657476,AHpf,True,True,kpca,sigmoid,1,6
all-classes,0.5100212089077413,AHpf,True,True,kpca,sigmoid,1,7
all-classes,0.5112937433722163,AHpf,True,True,kpca,sigmoid,1,8
all-classes,0.5129374337221633,AHpf,True,True,kpca,sigmoid,1,9
all-classes,0.5133616118769884,AHpf,True,True,kpca,sigmoid,1,10
all-classes,0.5160657476139979,AHpf,True,True,kpca,sigmoid,1,11
all-classes,0.5161717921527041,AHpf,True,True,kpca,sigmoid,1,12
all-classes,0.5155355249204666,AHpf,True,True,kpca,sigmoid,1,13
all-classes,0.512831389183457,AHpf,True,True,kpca,sigmoid,1,14
all-classes,0.5178154825026511,AHpf,True,True,kpca,sigmoid,1,15
all-classes,0.9300106044538706,AHpf,True,True,kpca,cosine,1,1
all-classes,0.9273594909862142,AHpf,True,True,kpca,cosine,1,2
all-classes,0.955355249204666,AHpf,True,True,kpca,cosine,1,3
all-classes,0.954931071049841,AHpf,True,True,kpca,cosine,1,4
all-classes,0.9594909862142099,AHpf,True,True,kpca,cosine,1,5
all-classes,0.9591728525980912,AHpf,True,True,kpca,cosine,1,6
all-classes,0.9604984093319194,AHpf,True,True,kpca,cosine,1,7
all-classes,0.9605514316012725,AHpf,True,True,kpca,cosine,1,8
all-classes,0.9607635206786851,AHpf,True,True,kpca,cosine,1,9
