class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
two-classes,0.5813953488372093,Spv,True,True,pca,None,1,256,prajjwal1/bert-tiny,2
two-classes,0.46511627906976744,Spv,True,True,umap,None,1,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,True,True,pca,None,3,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,True,umap,None,3,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,True,True,pca,None,5,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,True,True,umap,None,5,256,prajjwal1/bert-tiny,2
two-classes,0.37209302325581395,Spv,True,True,pca,None,7,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,True,umap,None,7,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,True,pca,None,9,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,True,True,umap,None,9,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,True,pca,None,11,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,True,True,umap,None,11,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,True,pca,None,13,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,True,True,umap,None,13,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,True,pca,None,15,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,True,umap,None,15,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,True,False,None,None,75,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,True,pca,None,1,256,prajjwal1/bert-tiny,2
two-classes,0.3953488372093023,Spv,False,True,umap,None,1,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,True,pca,None,3,256,prajjwal1/bert-tiny,2
two-classes,0.5348837209302325,Spv,False,True,umap,None,3,256,prajjwal1/bert-tiny,2
two-classes,0.4418604651162791,Spv,False,True,pca,None,5,256,prajjwal1/bert-tiny,2
two-classes,0.5813953488372093,Spv,False,True,umap,None,5,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,True,pca,None,7,256,prajjwal1/bert-tiny,2
two-classes,0.6046511627906976,Spv,False,True,umap,None,7,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,False,True,pca,None,9,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,True,umap,None,9,256,prajjwal1/bert-tiny,2
two-classes,0.5813953488372093,Spv,False,True,pca,None,11,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,True,umap,None,11,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,True,pca,None,13,256,prajjwal1/bert-tiny,2
two-classes,0.5348837209302325,Spv,False,True,umap,None,13,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,True,pca,None,15,256,prajjwal1/bert-tiny,2
two-classes,0.5116279069767442,Spv,False,True,umap,None,15,256,prajjwal1/bert-tiny,2
two-classes,0.4883720930232558,Spv,False,False,None,None,72,256,prajjwal1/bert-tiny,2
