0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,class_numeric
0.9989296,11.703735,6.1403384,1.5834718,-0.504493,-0.8165152,1.3353024,6.506643,3.7115932,3.0343056,7.2440605,4.066165,7.5800304,7.6607895,6.43693,2.6185074,1.3551241,6.708399,7.3497396,1.5342128,4.012298,7.0803885,3.02103,0
1.0167682,11.685154,6.095176,1.5827513,-0.554722,-0.89666384,1.2587556,6.509673,3.7822962,3.0331452,7.2547026,4.1082225,7.5940046,7.6808968,6.415843,2.6485956,1.358231,6.71992,7.378524,1.5571765,4.0069804,7.0819993,2.9448798,0
1.0173771,11.691659,6.110943,1.5897132,-0.53801304,-0.8607188,1.2953655,6.511144,3.747597,3.0346272,7.242024,4.082351,7.588406,7.6661654,6.428443,2.6328542,1.3516674,6.713413,7.3637652,1.5427892,4.014433,7.0889773,2.9808822,0
1.0179863,11.698758,6.115805,1.5921453,-0.5295463,-0.8475717,1.3084799,6.5066347,3.7337034,3.0345867,7.236497,4.0731053,7.5811896,7.66696,6.425596,2.627287,1.3567212,6.711466,7.3611827,1.5454949,4.0178533,7.084358,2.995426,0
1.0325332,11.709943,6.1135607,1.6190225,-0.5368427,-0.8107863,1.3506749,6.4968963,3.6899827,3.0355558,7.211521,4.0416403,7.566324,7.6659665,6.422805,2.6136854,1.3654449,6.7068768,7.352937,1.5486209,4.0508704,7.0839605,3.037437,0
1.0203533,11.723878,6.13476,1.6135081,-0.50753635,-0.7734075,1.3851974,6.4897833,3.6607673,3.0348475,7.2103744,4.0299635,7.55493,7.6673727,6.422577,2.6027555,1.3742198,6.7027664,7.345031,1.5496405,4.047305,7.0715733,3.073087,0
1.0479383,11.730645,6.117736,1.6549205,-0.53456545,-0.7676006,1.3983876,6.4805036,3.6421835,3.0374086,7.1772513,4.000893,7.54169,7.6657414,6.4213076,2.591517,1.379731,6.6985674,7.339611,1.5524459,4.0940704,7.0799475,3.0828292,0
1.016555,11.723655,6.1407003,1.6136557,-0.5034016,-0.7711245,1.3857769,6.491122,3.6630874,3.0360513,7.2090244,4.0224457,7.555522,7.6643043,6.43172,2.600378,1.3703661,6.7004285,7.340982,1.5432819,4.053465,7.0757775,3.06909,0
1.0231127,11.735408,6.138496,1.6242899,-0.50897914,-0.76374763,1.3961161,6.4776983,3.6486483,3.0342975,7.2056656,4.0187445,7.541593,7.676529,6.412776,2.597847,1.3870826,6.7018404,7.345786,1.5606914,4.0662413,7.0622115,3.0824084,0
1.019851,11.702749,6.1215577,1.6034755,-0.52604604,-0.811525,1.3443555,6.5044646,3.7047892,3.0360231,7.224262,4.050452,7.576195,7.66213,6.4343386,2.619058,1.3558367,6.707798,7.3527675,1.5383235,4.037277,7.088466,3.024712,0
0.9534075,11.739214,6.1917033,1.5279094,-0.41382116,-0.75602525,1.3701026,6.4848614,3.6903582,3.0298321,7.270376,4.082042,7.553669,7.6810746,6.414171,2.6090646,1.3887949,6.707261,7.3487754,1.5574985,3.9489162,7.029319,3.0720377,0
0.94267917,11.741728,6.201695,1.5199326,-0.39825466,-0.75189835,1.3703009,6.482966,3.6919746,3.0288634,7.277748,4.087994,7.5526004,7.6833572,6.4136014,2.6077812,1.3924181,6.707311,7.346821,1.5585785,3.9388247,7.023265,3.0743682,0
0.6222109,11.333328,6.077188,1.3681589,-0.6871067,-1.7245363,0.4612264,6.4599705,4.531786,2.9757493,7.661365,4.677849,7.8943133,7.9505634,6.463568,2.9300199,1.4670771,6.944536,7.3748174,1.6153735,3.8515985,7.0521407,2.1073918,1
0.6295496,11.341037,6.0763097,1.3695679,-0.6894603,-1.7091999,0.47335148,6.4596014,4.51875,2.978953,7.651827,4.6676416,7.8894672,7.942736,6.4574947,2.9239006,1.462566,6.9359236,7.3784766,1.6093343,3.8478932,7.0460362,2.1140254,1
0.6247918,11.335171,6.0828986,1.3742329,-0.6852584,-1.7248311,0.4618551,6.456061,4.5307713,2.9800587,7.665755,4.683557,7.8884025,7.9451213,6.4537997,2.922163,1.4605659,6.946495,7.3802094,1.606676,3.8494315,7.048175,2.1145046,1
0.60481024,11.318049,6.0650587,1.3494595,-0.693375,-1.7433661,0.442209,6.471292,4.5510225,2.9588528,7.67238,4.690034,7.917288,7.9713283,6.488006,2.9551942,1.4885491,6.9546285,7.360363,1.6391028,3.85569,7.065082,2.078824,1
0.6017336,11.308301,6.0934362,1.3782068,-0.66694695,-1.7815294,0.42030224,6.447529,4.57881,2.9800472,7.7032695,4.723465,7.8852735,7.9671335,6.462129,2.9266403,1.4697975,6.978022,7.369791,1.6167796,3.8669388,7.0709195,2.1210861,1
0.5887303,11.287824,6.103738,1.3863493,-0.65386045,-1.8159584,0.3948211,6.430725,4.6071253,2.9933636,7.723049,4.747397,7.873357,7.974272,6.455628,2.9187706,1.4658513,6.992296,7.370565,1.6120567,3.880576,7.0802236,2.1271563,1
0.5777454,11.281785,6.090061,1.3698807,-0.658587,-1.8178358,0.38571212,6.441292,4.6144896,2.9798248,7.71973,4.741818,7.893124,7.9933825,6.480997,2.943162,1.4835756,6.994172,7.3560615,1.6347668,3.8868623,7.0927935,2.0987735,1
0.5919906,11.297042,6.0899715,1.3725784,-0.6680908,-1.7963452,0.40660295,6.4477773,4.5920167,2.977055,7.7077346,4.7290444,7.895699,7.977745,6.4729557,2.9383674,1.4758661,6.982943,7.365579,1.6265738,3.8723173,7.076944,2.0997722,1
0.6059893,11.3148985,6.080743,1.3672757,-0.6786792,-1.7613437,0.4331119,6.4559255,4.562571,2.973905,7.6838737,4.70275,7.8972116,7.9669714,6.471752,2.9369109,1.4749296,6.963669,7.3671517,1.6244434,3.8628879,7.0666666,2.1018267,1
0.6154799,11.327878,6.0730324,1.3623605,-0.686772,-1.73847,0.45177042,6.461028,4.5419736,2.9729488,7.665375,4.6822414,7.899031,7.959556,6.4713483,2.9373474,1.4737198,6.9487147,7.368392,1.622679,3.8567035,7.05929,2.09843,1
