0,1,2,3,4,5,6,7,8,9,10,11,12,active_hand
12.541387,4.353486,5.283128,1.7003922,6.701402,2.9033825,5.3424087,5.248833,3.8483446,3.0987222,2.712525,5.905661,14.098563,1
-0.0686188,13.504458,5.9404335,3.859622,5.2446523,4.200081,5.686307,5.800826,3.8104296,3.2039204,5.5072045,4.78038,4.7210155,0
12.462153,4.396604,5.2636304,1.7782626,6.6218953,3.008753,5.328401,5.33976,3.8642335,3.0813568,2.7213066,5.945749,14.216575,1
-0.07634121,13.530648,5.9085593,3.8226316,5.2819896,4.2234225,5.6593914,5.823679,3.83761,3.2145598,5.5453935,4.8038187,4.749513,0
12.510371,4.3680267,5.275993,1.7267525,6.6746926,2.9345183,5.353124,5.279783,3.8536813,3.0948894,2.710976,5.9264793,14.133114,1
-0.07581565,13.526701,5.9113293,3.8261309,5.2784834,4.2199574,5.6634088,5.8201795,3.8338323,3.2135036,5.5417094,4.8004546,4.7460704,0
12.512315,4.365547,5.278737,1.7246525,6.6767793,2.9331157,5.3529515,5.2783055,3.8549254,3.0937374,2.708574,5.9237113,14.131587,1
-0.06684296,13.519711,5.905525,3.81472,5.2904754,4.211973,5.6684475,5.812167,3.8287964,3.2048225,5.5540752,4.79242,4.7434382,0
12.519885,4.364617,5.2780967,1.7154676,6.6859503,2.9215503,5.353185,5.2672925,3.8508058,3.0982296,2.710825,5.921498,14.119408,1
-0.06510396,13.515413,5.9184146,3.8269327,5.281869,4.208591,5.6747065,5.8087883,3.8224535,3.2026498,5.548509,4.789051,4.7352586,0
12.556117,4.3607073,5.2754097,1.6833929,6.718363,2.8714068,5.3297696,5.214541,3.8346682,3.113336,2.7236125,5.908137,14.058601,1
-0.1197812,13.544931,5.907331,3.8371193,5.2605553,4.240376,5.6445594,5.84058,3.8504708,3.2533536,5.5166917,4.8207784,4.7595677,0
12.558723,4.3482957,5.2856474,1.6780648,6.723685,2.8787205,5.345932,5.225342,3.8419006,3.1070948,2.7144742,5.8981524,14.073749,1
-0.11956499,13.566699,5.8798094,3.8278904,5.257835,4.2599597,5.6247005,5.8595834,3.8727732,3.2562256,5.517783,4.840574,4.783363,0
