0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,class_numeric
1.1602263,5.2655606,5.331734,8.648694,3.7116096,3.6647289,5.579213,5.3939095,5.8196526,4.500273,3.998842,5.3371444,3.4611282,4.1218624,5.114559,3.5509868,7.29213,4.364447,5.240083,5.575266,6.418161,4.7630844,5.442929,4.7985907,3.6389465,3.8299575,5.80827,3.4284844,4.815751,0
1.1378316,5.2515187,5.289698,8.6317425,3.7171588,3.6393173,5.5714793,5.3920484,5.8374557,4.5226765,4.0082846,5.3836575,3.4622922,4.102429,5.1171613,3.5405014,7.301103,4.3216224,5.210825,5.5945587,6.417777,4.7910724,5.48006,4.8029776,3.6181471,3.8300264,5.8232617,3.4037776,4.8341813,1
4.393415,5.103264,5.355846,7.904325,3.7823586,3.8073537,6.172811,5.7213187,5.705912,4.2701716,3.9943013,5.5008416,3.6010466,4.738084,4.378147,3.7573159,5.8702893,5.256762,5.214763,5.0729465,6.4086995,4.788562,5.77939,4.1575027,4.3776007,3.2914972,5.585146,3.5132036,4.420514,2
15.217108,5.401238,5.6832805,6.2754416,1.5710177,3.8350506,5.584132,5.41608,4.320101,4.402504,6.5525727,4.8351765,3.471124,4.5275598,3.4817107,4.668979,5.196146,5.7765026,5.0018206,4.777049,5.6991343,7.5297527,7.28874,3.6262689,6.0370126,1.0418805,5.432804,4.6316156,4.1913357,0
15.139029,5.2776804,5.5995946,6.3067145,1.5532278,3.9857693,5.618966,5.2855363,4.301751,4.3992853,6.5688443,4.755496,3.4169507,4.583841,3.5285888,4.722334,5.1786766,5.839013,4.947705,4.675972,5.58647,7.5401278,7.2937202,3.5234423,6.017929,1.0047932,5.3279448,4.709744,4.1756315,1
14.9744005,5.3416047,5.54173,6.3115706,1.6630424,3.892739,5.7198863,5.3763556,4.3798156,4.4630136,6.515923,4.8598537,3.4687676,4.6630387,3.5713677,4.6865616,5.278592,5.767711,4.9927135,4.7515335,5.5989966,7.4136386,7.252245,3.574931,6.0017066,1.0604131,5.360159,4.5866766,4.122699,2
1.3214985,5.25656,5.356159,8.588889,3.7730331,3.6909354,5.621164,5.3999076,5.7715635,4.4141326,3.9819791,5.3332376,3.4976141,4.16232,5.096036,3.5843124,7.2658796,4.3569727,5.219582,5.5150247,6.384165,4.775464,5.435458,4.792501,3.6622632,3.8265421,5.766663,3.4494097,4.7541213,0
1.1666411,5.2385798,5.3181334,8.610365,3.7177832,3.6403236,5.5789413,5.40721,5.8129,4.482909,3.9893467,5.362172,3.4757974,4.1046576,5.099855,3.5364597,7.2825665,4.3484335,5.2045217,5.588216,6.4191966,4.784443,5.47421,4.7907457,3.6465495,3.816817,5.7972255,3.4018965,4.822252,1
4.12881,5.132855,5.412387,8.000445,3.8230116,3.7836509,6.16037,5.6744943,5.7179103,4.2859683,3.9948177,5.474629,3.610292,4.6936765,4.419263,3.776765,6.031135,5.246088,5.2932515,5.0636044,6.452015,4.7360535,5.6716704,4.192561,4.3413196,3.3176746,5.554287,3.5386517,4.422806,2
15.242112,5.371185,5.682505,6.2703495,1.5648974,3.8742578,5.5840926,5.3807044,4.3043737,4.4085183,6.575614,4.819029,3.4700747,4.5274487,3.4888046,4.7009006,5.191541,5.809964,4.972578,4.750519,5.681048,7.54055,7.285164,3.586209,6.0386567,1.0126381,5.4032307,4.66029,4.2053823,0
15.169891,5.248075,5.590157,6.325225,1.5120708,4.015687,5.6092825,5.2516565,4.273793,4.373936,6.575945,4.704529,3.3733559,4.590134,3.5410068,4.726354,5.1413302,5.853044,4.9338174,4.639078,5.5647883,7.5813494,7.3141065,3.5048585,6.0170884,0.9932269,5.304121,4.762541,4.1556654,1
