0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,active_hand
9.67103,5.4324746,4.6829467,6.74603,4.283095,5.505214,3.794996,4.979721,4.614138,3.2914276,3.6687849,5.5769925,-5.1390986,6.4422016,4.876379,4.5140123,5.7575793,4.553802,4.88075,4.9999895,5.0295777,4.6947727,4.7697053,5.2797394,4.983296,4.6821294,5.2590246,4.89134,5.2502804,5.510538,1
3.8139443,16.335155,5.2884583,4.7807484,4.976247,5.184482,4.749885,5.23857,5.3473115,3.590283,5.2684817,4.9365683,4.4230747,5.243379,4.966888,4.7731795,4.6025696,4.7848516,5.2697463,4.8275723,5.180056,4.9712563,5.1745796,4.596598,4.8974,5.216658,5.2682858,4.779681,4.8779235,5.263291,0
9.68173,5.4002357,4.6711526,6.6828456,4.246237,5.474194,3.809818,4.9702997,4.653679,3.247141,3.6316385,5.600553,-5.25403,6.494981,4.9152255,4.445352,5.770299,4.4808097,4.9035006,4.98343,5.034941,4.6139665,4.7364364,5.2524953,4.975888,4.6441197,5.2453494,4.8759294,5.22657,5.50519,1
3.7704568,16.365112,5.2452774,4.7764153,4.950059,5.1528506,4.755995,5.2476683,5.315875,3.630908,5.28895,4.9063463,4.441667,5.2250147,4.9311523,4.7916117,4.5670958,4.80087,5.300612,4.857234,5.213545,4.9556837,5.1665344,4.5650787,4.9294806,5.2210603,5.3024416,4.743758,4.840483,5.2798243,0
9.677075,5.420876,4.675279,6.7231627,4.2681823,5.4903374,3.7966719,4.97328,4.630999,3.2726798,3.6518106,5.586262,-5.1655774,6.4602866,4.8921676,4.492564,5.760821,4.530085,4.890023,4.9907866,5.029843,4.670211,4.7540593,5.268395,4.982952,4.665401,5.259598,4.8844547,5.2416496,5.5123043,1
3.786035,16.35355,5.2607155,4.781214,4.9593816,5.165287,4.7503233,5.2459927,5.3282976,3.616217,5.279843,4.91736,4.435944,5.2307973,4.94444,4.785873,4.580311,4.796122,5.28875,4.846303,5.2009425,4.9601135,5.16774,4.57737,4.917278,5.2217736,5.289629,4.757092,4.854308,5.2692866,0
9.680734,5.413409,4.6733284,6.7129025,4.2559943,5.4821787,3.8012586,4.971286,4.640784,3.2615883,3.6412568,5.5931516,-5.175494,6.470728,4.901234,4.482753,5.7652316,4.520054,4.898034,4.9875436,5.0324,4.660267,4.743951,5.260311,4.979289,4.6556964,5.2564554,4.8822308,5.232743,5.5099845,1
3.7622375,16.365696,5.236744,4.777389,4.9477997,5.1515517,4.754523,5.248401,5.3155766,3.637175,5.2917857,4.9052024,4.443107,5.224097,4.928522,4.7928367,4.564717,4.8018456,5.3009906,4.858488,5.214827,4.954676,5.1656117,4.564592,4.930075,5.2223077,5.3041377,4.7410364,4.835696,5.279378,0
9.682146,5.4223495,4.6672597,6.723291,4.268864,5.4838367,3.7883139,4.966541,4.6365824,3.270038,3.6464028,5.5888767,-5.158596,6.4561253,4.8973145,4.4915295,5.7562013,4.5322776,4.8911123,4.983033,5.024758,4.674311,4.7480206,5.2650657,4.9899206,4.659757,5.2700634,4.881319,5.244934,5.5209694,1
3.7833724,16.355736,5.258032,4.779836,4.9574566,5.1626654,4.7518997,5.2457814,5.326519,3.6186805,5.281863,4.9154387,4.43662,5.2302055,4.942346,4.7865434,4.5782294,4.7965503,5.290379,4.848385,5.202805,4.9598894,5.1680107,4.5755954,4.9190054,5.221125,5.2915654,4.7549806,4.8521757,5.271651,0
9.666688,5.4443417,4.7207327,6.7720776,4.2763433,5.5325155,3.825414,5.0040545,4.580459,3.299298,3.687224,5.575515,-5.0685196,6.4339576,4.8326488,4.5640717,5.7733774,4.5823607,4.8859158,5.044004,5.047705,4.7249713,4.786017,5.28411,4.953626,4.712228,5.22275,4.918128,5.2346697,5.4760475,1
