0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,class_numeric
0.4897714,5.2461925,3.1665041,7.8942194,6.7081714,6.3015223,3.678892,4.0970635,5.9922123,5.3656507,5.0146194,4.8361335,4.060231,6.1218853,3.7872837,4.696806,6.70276,5.7149825,4.27741,5.1089525,4.902732,4.9917145,4.3661294,0
0.41022277,5.243951,3.1563594,7.868908,6.733982,6.2866526,3.6581202,4.0987015,5.963576,5.382478,5.0011168,4.8478494,4.064187,6.0997276,3.7735724,4.7033367,6.7185802,5.69841,4.260644,5.11727,4.9322023,4.9843025,4.3489814,1
3.616025,4.258788,3.7624598,8.486594,6.172303,6.1449594,4.5156455,4.8366876,6.2345934,3.9881747,4.751656,4.9244366,5.022513,6.294078,4.019259,5.5649295,6.4816895,5.573021,4.8728766,4.7198653,4.7484846,5.6518474,4.0744867,2
13.506563,4.3147516,6.123482,9.523936,7.661131,5.201054,3.140141,5.5956264,2.776306,3.4767292,4.7618837,4.0751247,3.1885133,7.5585756,4.304109,5.9653826,4.7651134,7.0620785,4.5015736,3.4582489,4.0022335,5.5445585,3.164558,0
13.398708,4.295256,6.073708,9.608091,7.6914873,5.164132,3.1792674,5.5859685,2.689707,3.5537682,4.7085514,4.026434,3.156678,7.7267685,4.292673,6.048416,4.6939206,6.958714,4.438389,3.3932524,4.040328,5.5797343,3.2067027,1
13.552514,4.196897,6.1454477,9.605298,7.7852197,5.3337045,3.1157966,5.5426784,2.833708,3.3799355,4.864248,4.143453,3.3043864,7.445847,4.292408,6.0491457,4.816919,6.8760796,4.4418416,3.5227485,4.143395,5.50043,3.1250513,2
0.52336955,5.235987,3.1271045,7.8651924,6.748753,6.285451,3.6566303,4.107539,5.944913,5.338402,4.9393935,4.8923683,4.0483623,6.0559278,3.7677476,4.686477,6.7643213,5.707171,4.261147,5.112466,4.9524164,4.9300885,4.322117,0
0.45388612,5.235343,3.1007268,7.8101215,6.7906933,6.2495737,3.6108084,4.1050944,5.896563,5.3607774,4.9266853,4.9038777,4.0513062,6.00463,3.7453585,4.6928406,6.7923517,5.6879344,4.2244983,5.132263,5.0077877,4.878433,4.2967434,1
3.397919,4.379071,3.712592,8.425524,6.2121935,6.17086,4.451844,4.7613564,6.2482452,4.101924,4.7605877,4.9273896,4.977152,6.284535,4.0045867,5.482903,6.513403,5.582543,4.8231106,4.776536,4.793276,5.585534,4.11597,2
13.508082,4.271536,6.0821023,9.567339,7.68562,5.2008033,3.115571,5.598142,2.7286696,3.4584827,4.791345,4.0914187,3.1688943,7.5901513,4.284352,6.025208,4.732544,7.077048,4.4580183,3.439531,4.03536,5.5714607,3.1565435,0
13.4550705,4.293521,6.106772,9.550383,7.675742,5.206695,3.181366,5.5883594,2.7578728,3.494077,4.7604775,4.0738482,3.203422,7.6484303,4.317545,5.9906,4.753156,6.940999,4.490723,3.4480536,4.0208225,5.5358605,3.1730394,1
13.476563,4.2484717,6.1056814,9.608379,7.7406363,5.239003,3.1981528,5.5589,2.8340487,3.4502087,4.7987204,4.0816827,3.2565598,7.57074,4.2913013,6.0381246,4.8030615,6.8066654,4.4688196,3.4888105,4.089269,5.5296507,3.1587505,2
0.743145,5.192649,3.2066705,7.925428,6.6997848,6.3066587,3.716227,4.1384807,5.9928894,5.2849407,4.97216,4.8619227,4.1055083,6.1268578,3.7848024,4.7400384,6.7001057,5.692443,4.3091984,5.086742,4.909151,5.0653515,4.3417225,0
0.26376575,5.236944,3.150449,7.820841,6.7443047,6.2554936,3.6047313,4.09977,5.9585805,5.43588,5.0175138,4.868656,4.069996,6.105709,3.68883,4.7187724,6.7145686,5.707194,4.241006,5.1203685,4.932855,4.9650474,4.3125896,1
3.5897038,4.2941017,3.7360935,8.442808,6.2192936,6.176789,4.4627786,4.7837095,6.223366,4.02416,4.7395244,4.9267836,4.9923935,6.2699103,4.0027165,5.5145044,6.511397,5.5637417,4.82778,4.7603517,4.797294,5.598907,4.10596,2
13.554032,4.227187,6.072233,9.565034,7.716509,5.253635,3.1074605,5.575931,2.7648141,3.3975122,4.8506346,4.1429167,3.2139473,7.5094485,4.2925763,6.0284033,4.771194,7.0796385,4.477567,3.4841077,4.0686193,5.5472536,3.1291597,0
13.395923,4.303093,6.042374,9.565722,7.6428003,5.116198,3.1992085,5.5800414,2.708438,3.5563993,4.683994,3.9840896,3.1207247,7.7368727,4.2999015,6.0035443,4.6718345,6.860961,4.477531,3.353286,3.9845817,5.611018,3.2367594,1
13.429159,4.269709,6.119047,9.567439,7.7174573,5.2711263,3.2573743,5.5478926,2.8922834,3.4577978,4.798875,4.1113057,3.3004637,7.5455303,4.3476443,5.9899387,4.8632655,6.741885,4.521696,3.5427198,4.0621095,5.4784756,3.171312,2
0.4459808,5.2284126,3.1071885,7.8511734,6.745408,6.283964,3.627414,4.108614,5.9550886,5.353526,4.9045463,4.9463387,4.023463,6.067218,3.6794612,4.668013,6.78273,5.7388334,4.2661004,5.099743,4.923144,4.9223285,4.2831435,0
0.3139918,5.28051,3.130389,7.845617,6.744538,6.2879725,3.6241317,4.0632415,5.962749,5.442486,5.035642,4.834978,4.0237436,6.110521,3.7533035,4.6699476,6.717256,5.7131147,4.237053,5.1311088,4.9165287,4.956667,4.3639793,1
3.6338537,4.285477,3.7444108,8.454905,6.2215614,6.1763206,4.471401,4.7937727,6.2174726,4.012857,4.744481,4.920052,4.997771,6.2730155,4.0120287,5.528931,6.5023913,5.5560246,4.83286,4.750629,4.798187,5.596667,4.1039705,2
13.530057,4.2762337,6.0595417,9.60106,7.689773,5.17063,3.0836873,5.623001,2.680299,3.4444075,4.8050566,4.087072,3.1265132,7.5823126,4.2627754,6.0757813,4.693522,7.201786,4.4162855,3.411995,4.0450864,5.596514,3.159283,0
13.410431,4.2926345,6.0853415,9.593761,7.6922565,5.1787534,3.1875944,5.577221,2.7182863,3.5360188,4.7208605,4.034088,3.1742997,7.702909,4.291965,6.031402,4.711961,6.9165754,4.4572315,3.4071004,4.039713,5.571511,3.19927,1
13.427942,4.2824297,6.1050525,9.59692,7.7181134,5.2187243,3.2052114,5.5582557,2.7719562,3.4987645,4.7571907,4.0624843,3.2165556,7.6410613,4.28232,6.031418,4.7538834,6.857904,4.4758053,3.4471757,4.0658603,5.55161,3.1786566,2
0.5163335,5.2567763,3.06029,7.8311033,6.792446,6.275889,3.626439,4.0891695,5.8979664,5.337396,4.881883,4.9285493,4.0004697,5.980756,3.7741883,4.6399097,6.8330274,5.715358,4.230513,5.128139,4.9977827,4.8279443,4.3030133,0
0.6051255,5.179858,3.098779,7.819787,6.786453,6.2331185,3.6289318,4.157207,5.8926044,5.270687,4.816396,4.992978,4.075602,5.9573994,3.7032275,4.7142916,6.84281,5.6995225,4.2563763,5.0982723,5.035101,4.836003,4.2263036,1
3.6496844,4.274149,3.7514262,8.453362,6.226461,6.180017,4.4702587,4.7932997,6.2048616,3.9982686,4.729732,4.9183207,4.99797,6.258876,4.01562,5.5320125,6.50409,5.548094,4.8303227,4.7504797,4.8040624,5.5942907,4.1032486,2
13.54548,4.254055,6.0846353,9.585768,7.703801,5.2102156,3.0825589,5.6048617,2.707064,3.4295998,4.8142424,4.09822,3.1712737,7.5405374,4.27694,6.0512276,4.723485,7.1325555,4.4311748,3.4375358,4.058071,5.5709424,3.1506631,0
13.4466915,4.2837787,6.1124864,9.598263,7.7152796,5.21112,3.1715517,5.574342,2.7335608,3.5017157,4.7544312,4.059408,3.2008054,7.650222,4.2766466,6.036926,4.7301416,6.933296,4.4543004,3.4308405,4.064222,5.5594926,3.17359,1
13.415872,4.2732353,6.127636,9.556221,7.712204,5.282354,3.2689579,5.5457015,2.907458,3.4623058,4.7958274,4.117018,3.3158855,7.538418,4.3646445,5.9752684,4.8813567,6.7193813,4.533079,3.5574987,4.0570884,5.461662,3.17457,2
1.709298,4.8808494,2.9354935,7.6244206,6.985799,6.063269,3.5288153,4.3076954,5.6373343,4.728311,4.3047843,5.2596407,4.2032347,5.4793673,3.692536,4.797584,7.1544003,5.623325,4.1729608,5.097794,5.4999146,4.4952106,3.9515545,0
1.7646774,4.900889,2.959941,7.647813,7.026337,6.0994344,3.5560672,4.329653,5.60958,4.73266,4.296763,5.2269545,4.197236,5.4341087,3.7371497,4.821014,7.14322,5.581731,4.152492,5.0990615,5.553057,4.4282856,3.9640877,1
3.607184,4.2049465,3.7427742,8.412396,6.302037,6.1842623,4.4149637,4.7867484,6.113578,3.9357362,4.6436887,4.9358435,4.955603,6.1609125,3.9729104,5.5371213,6.555857,5.502431,4.7749996,4.7414494,4.878866,5.540721,4.060367,2
14.339586,3.8208787,6.4291296,9.728001,8.113631,5.781172,2.7788153,5.4254456,3.0187452,2.9789252,5.1817966,4.3027973,3.7289665,6.6836295,4.3338876,6.1341233,5.1068335,6.4074607,4.280908,3.756677,4.467528,5.311649,2.931762,0
14.408746,3.8604097,6.4350986,9.711433,8.122639,5.7538495,2.9429114,5.437956,3.1394958,2.989897,5.173515,4.2570734,3.785962,6.7948923,4.463923,6.069541,5.270093,6.156124,4.3530393,3.8886886,4.364446,5.1821012,2.9623752,1
12.258365,3.3842995,5.4344835,9.450308,7.762397,6.3452477,3.6885252,4.913694,4.7477794,3.7625933,4.354619,4.4870634,4.573148,5.8109965,5.3840632,5.9060845,6.4376616,5.2682962,4.8033714,4.6164036,4.620398,4.8730736,4.0186195,2
2.0820296,4.7469125,3.1344955,7.7826705,6.81335,6.0825653,3.7306895,4.4108963,5.777303,4.5741415,4.3702717,5.1804414,4.395883,5.65287,3.7680829,4.9723225,7.017008,5.580501,4.3230467,5.0186763,5.3661537,4.7958694,3.9780228,0
2.0531747,4.7845783,2.986833,7.658846,6.9363713,6.0388193,3.5971954,4.38802,5.644871,4.5708437,4.241547,5.2723117,4.314804,5.4606075,3.7412226,4.890995,7.1516747,5.592722,4.2309017,5.0628085,5.5191545,4.487684,3.917376,1
