0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,class_numeric
2.6300035,6.1016316,7.4154825,6.43112,4.0505314,4.0489187,6.0665975,6.243543,5.195918,4.936736,3.5764623,6.3402896,6.788094,5.3178906,4.9594874,4.395898,3.2850504,3.9384878,6.100986,4.895632,5.662865,4.970051,3.7730176,4.916926,5.2370276,4.98272,0
2.5885408,6.0531383,7.421616,6.4462175,4.033355,4.1337805,6.0206714,6.3020267,5.177598,4.919235,3.5765364,6.3037868,6.806268,5.3678026,5.0300164,4.432289,3.2975702,3.9675937,6.1650705,4.9263773,5.636139,4.969139,3.7501233,5.0278034,5.2480145,5.05613,1
4.2098565,6.2342935,6.09428,8.042385,3.0685735,3.9366653,6.157807,5.5014586,4.319138,5.015402,4.1400967,5.534563,5.53056,5.6345024,5.2801166,4.87783,4.054923,5.0364347,5.8535457,4.44172,5.9939613,5.711092,4.1799126,4.851626,6.377258,4.722884,2
14.664111,1.8105235,3.3259711,6.056774,2.3654177,4.460101,5.8357596,3.337339,2.8606353,3.8017788,4.160037,4.1934857,4.7478623,7.069375,6.1953597,6.5301175,4.7749453,6.1381326,5.3886194,3.4937615,3.341946,6.122392,3.759196,5.1210685,5.4672832,3.9316924,0
14.630727,1.872761,3.347622,6.087956,2.394476,4.4417167,5.867488,3.308968,2.9074092,3.8109522,4.2274194,4.3052645,4.7902904,7.0312343,6.230027,6.5401535,4.7206287,6.104768,5.4684687,3.4639575,3.4590793,6.071857,3.7330189,5.2194924,5.4362373,3.8911934,1
14.6502695,2.056888,3.3373325,6.1887083,2.297798,4.524324,5.9229617,3.363378,2.8486242,3.7955015,4.3540425,4.1859064,4.7074127,7.144608,6.1180077,6.583947,4.7344503,6.0532246,5.3151283,3.4393399,3.7169957,5.957848,3.702868,5.06358,5.485657,4.031745,2
2.7282763,6.0814457,7.333211,6.5558963,3.9462771,4.1057916,6.0296574,6.272048,5.1451216,4.931501,3.6020713,6.2376695,6.7039924,5.35602,5.048343,4.474591,3.3381853,4.0558195,6.157071,4.8888717,5.653473,5.013198,3.7713308,5.014447,5.3280087,5.0367165,0
2.5781488,6.0620117,7.424993,6.4501815,4.0263267,4.14253,5.99368,6.3353853,5.186886,4.927038,3.5540144,6.2958574,6.819902,5.3679066,5.045593,4.43696,3.3011017,3.9820592,6.185553,4.918935,5.65503,4.948692,3.734918,5.055785,5.246715,5.0601587,1
4.0138097,6.2165284,6.128295,7.9474216,3.166117,3.9297254,6.20842,5.52494,4.361966,5.023984,4.1183515,5.571011,5.5696507,5.52732,5.284158,4.882601,3.8919613,4.9939103,5.854858,4.4815927,5.949387,5.719118,4.1464987,4.896351,6.299115,4.8010106,2
14.651148,1.8285195,3.3493738,6.0721464,2.3606253,4.4722924,5.8362665,3.329368,2.8868227,3.8165913,4.179375,4.215021,4.748645,7.0614815,6.2087703,6.509831,4.7846174,6.1111836,5.4315953,3.5146642,3.358747,6.084012,3.7768753,5.1389413,5.4742236,3.925227,0
14.647111,1.8889048,3.3759441,6.1091776,2.3529236,4.496274,5.842969,3.3050735,2.9115863,3.843689,4.2304215,4.2221923,4.732363,7.0762377,6.227157,6.499524,4.7853513,6.0671744,5.4899836,3.5435584,3.450048,6.0081863,3.7821066,5.135869,5.5018015,3.9545064,1
14.583222,2.026358,3.3711503,6.1972723,2.2869074,4.5435934,5.9256496,3.3828619,2.8910599,3.8244808,4.322528,4.2036614,4.6942406,7.1491265,6.1740594,6.5387473,4.761327,6.022565,5.3858666,3.4921613,3.7106786,5.938406,3.7419603,5.081291,5.4905796,4.0237975,2
2.7910616,6.091033,7.340291,6.5872035,3.9321294,4.0875816,6.026239,6.269008,5.1376534,4.9389424,3.5940518,6.2401037,6.716228,5.3406577,5.0389338,4.457383,3.3611848,4.052184,6.1616297,4.877574,5.662459,5.0056767,3.7543051,4.98062,5.3442745,5.007681,0
2.5151818,6.08825,7.4829082,6.370795,4.070128,4.0856757,6.016751,6.310636,5.2077055,4.9400606,3.5308933,6.350272,6.893371,5.3345046,4.982754,4.375128,3.283374,3.9241538,6.1442513,4.9084635,5.672737,4.9136567,3.7307668,4.9695315,5.2158513,5.0180407,1
4.176179,6.2649097,6.0919223,8.02929,3.1001554,3.9597087,6.171284,5.558004,4.2973304,5.0508184,4.1441894,5.5040717,5.591046,5.551717,5.283196,4.837713,4.0035143,5.048582,5.879982,4.4520535,6.0092783,5.696657,4.1760077,4.896401,6.369744,4.745776,2
14.619912,1.8967193,3.3534484,6.127942,2.2961955,4.505389,5.8604712,3.3860846,2.8730438,3.7979002,4.2345185,4.192163,4.7287483,7.1042857,6.1672015,6.516407,4.79286,6.0779457,5.3828754,3.4994555,3.4244819,6.035419,3.7748814,5.10518,5.478368,3.9619708,0
14.652459,1.9221109,3.38123,6.11898,2.3567414,4.4994545,5.8666935,3.2979934,2.9058118,3.8268363,4.2590656,4.246667,4.74131,7.066998,6.2113447,6.505885,4.7754025,6.0598626,5.4844046,3.512332,3.5017805,5.9944663,3.7735527,5.146175,5.4810615,3.9492445,1
14.53495,2.0690653,3.3910062,6.244151,2.263731,4.5615854,5.9325724,3.3948133,2.9170582,3.8481946,4.3619285,4.2033806,4.679358,7.1826096,6.1989603,6.527694,4.758191,5.987132,5.4106865,3.5216837,3.7622066,5.8851027,3.7480724,5.07706,5.5120263,4.053318,2
2.6425314,6.1104617,7.41692,6.4944906,3.999369,4.0768785,6.012768,6.296571,5.183944,4.9588485,3.5569825,6.285708,6.7906423,5.3296213,5.01665,4.4126854,3.3189044,3.9996119,6.1689157,4.8693542,5.686878,4.9597535,3.7447138,4.993021,5.2869344,5.009187,0
2.577318,6.1101274,7.4615197,6.4188952,4.044252,4.059214,6.0239697,6.2969184,5.202962,4.953077,3.5401995,6.335239,6.854673,5.3163896,4.9765234,4.3765445,3.2988193,3.9439192,6.1413684,4.884099,5.685008,4.9290032,3.7382898,4.9460154,5.244009,4.992378,1
4.161791,6.2775044,6.0687923,8.004728,3.1158128,3.8958158,6.23577,5.50163,4.3114257,5.072858,4.178432,5.5346565,5.576971,5.5338035,5.2274785,4.8369665,3.9784384,5.0086045,5.809121,4.4197364,6.0067143,5.7322917,4.168038,4.8607817,6.3524146,4.726046,2
14.696308,1.855119,3.3820753,6.0533824,2.3705113,4.51692,5.901381,3.3088305,2.8202186,3.7419915,4.1773677,4.2257547,4.7410297,7.003789,6.1300163,6.4882984,4.8297896,6.1123323,5.3636317,3.4261312,3.3920703,6.0893574,3.804651,5.0976386,5.3975787,3.9187615,0
14.6566515,1.8978598,3.3764663,6.108101,2.3575802,4.492382,5.8547626,3.299387,2.9043338,3.8287933,4.238552,4.2425227,4.7455482,7.0611143,6.2104445,6.5040383,4.779793,6.069848,5.483689,3.5173974,3.465536,6.011373,3.777206,5.1493697,5.4836445,3.940098,1
14.591874,1.9894794,3.3706515,6.1807485,2.2962666,4.532818,5.913252,3.3733172,2.8932266,3.823454,4.299236,4.211974,4.705277,7.133277,6.1797695,6.5321336,4.765464,6.032572,5.4013095,3.495079,3.6423068,5.960472,3.7491229,5.096242,5.486816,4.0054674,2
2.5244353,6.000891,7.336004,6.4372125,3.991823,4.2124653,6.00934,6.313353,5.144545,4.8834257,3.6056964,6.2392235,6.7347355,5.435264,5.107045,4.535155,3.285895,4.0534077,6.175998,4.9676833,5.600826,5.014958,3.780889,5.159698,5.2711697,5.16229,0
2.5269306,5.9817705,7.346175,6.4632196,3.9987195,4.2643776,5.9712706,6.358716,5.148384,4.8794365,3.5929086,6.2300835,6.750285,5.460895,5.150159,4.5493693,3.2894828,4.0595117,6.224472,4.9788127,5.599587,5.0046535,3.758374,5.2312474,5.2587223,5.1913624,1
4.175583,6.273606,6.077138,8.056869,3.053993,3.946768,6.1653776,5.5330725,4.2917113,5.0494366,4.158616,5.503982,5.5602446,5.6198597,5.2701445,4.83972,4.057006,5.0561757,5.852277,4.4248877,6.022556,5.6999316,4.1871533,4.8783965,6.3919826,4.708275,2
14.606509,1.9080197,3.356093,6.1303906,2.2741475,4.5198154,5.883217,3.4110172,2.859795,3.7663639,4.247999,4.1982303,4.7409377,7.0873504,6.128037,6.5026793,4.823506,6.0832887,5.344557,3.4719107,3.4250088,6.0353837,3.7953925,5.0919676,5.451792,3.9419942,0
14.584156,1.8614775,3.314994,6.154114,2.3007233,4.4914794,5.8970523,3.3257148,2.9303632,3.8526328,4.2263293,4.2314243,4.750022,7.113265,6.194054,6.5410194,4.7972875,6.0848308,5.4614153,3.506539,3.504222,6.030553,3.7576838,5.1311545,5.4838834,3.9249325,1
