0,1,2,3,4,5,active_hand
0.6923386,4.812601,-2.6904159,4.792636,12.014223,-1.6135665,1
0.9887965,-1.1469582,-0.012947902,1.2483542,1.4808729,-1.3212215,0
0.68334466,4.736204,-2.7131565,4.935248,12.15798,-1.5868152,1
0.9709598,-1.1740565,0.019357048,1.2865897,1.4471387,-1.3198245,0
0.67500865,4.7910156,-2.7120025,4.821665,12.044618,-1.5918524,1
0.9714225,-1.1654714,-0.020037508,1.2447852,1.4871349,-1.3059373,0
0.65942955,4.7728987,-2.7283041,4.839939,12.063136,-1.5755181,1
0.98875386,-1.1475288,0.0011258359,1.266919,1.4658333,-1.3233573,0
0.70092386,4.810219,-2.685088,4.7995496,12.021129,-1.6189837,1
0.9839646,-1.1528987,-0.0060044467,1.258733,1.4730461,-1.3185357,0
0.75014573,4.812936,-2.6263897,4.780454,11.992498,-1.6788568,1
0.955443,-1.1669993,-0.08424977,1.173117,1.5530647,-1.2771473,0
0.694965,4.801254,-2.6874244,4.798478,12.017732,-1.6168795,1
0.9472493,-1.1938537,-0.020638768,1.234712,1.4896499,-1.2855543,0
0.72052586,4.8253484,-2.6576269,4.762888,11.9796,-1.6472001,1
0.96189874,-1.1691135,-0.0462856,1.2118349,1.5149368,-1.290795,0
0.71681035,4.818776,-2.662934,4.775152,11.992092,-1.6418568,1
0.97375757,-1.1575395,-0.03983668,1.2169175,1.508933,-1.3021024,0
0.71325356,4.8190246,-2.667419,4.7774787,11.995852,-1.6370432,1
0.958481,-1.1718537,-0.050917402,1.2069064,1.5194601,-1.2874396,0
0.8084983,4.7806664,-2.5581954,4.8179564,12.0104065,-1.7479091,1
0.93389064,-1.1842561,-0.10712457,1.1474625,1.5763768,-1.2552954,0
0.9325366,-1.1858782,-0.10555788,1.1498153,1.5746281,-1.2540028,0
0.8462362,4.7803817,-2.5138462,4.8290133,12.005603,-1.7928698,1
0.9426311,-1.1983869,-0.029175537,1.2365285,1.4949572,-1.2845136,0
0.7944847,4.572212,-2.609172,5.2680454,12.479783,-1.6878424,1
0.98176324,-1.1590071,0.0075571467,1.2733337,1.4588217,-1.3209243,0
0.7756408,4.5943003,-2.6302876,5.2421613,12.4535885,-1.6653091,1
0.9587111,-1.1771964,-0.029928215,1.2333496,1.4968547,-1.2935432,0
0.8095313,4.5608606,-2.5953052,5.278285,12.485005,-1.7015097,1
0.96375054,-1.1739717,-0.025176508,1.2380507,1.4921429,-1.2997853,0
0.80004,4.565716,-2.604616,5.273677,12.480708,-1.6921605,1
0.93518525,-1.1832207,-0.10594864,1.1487949,1.5751203,-1.2561623,0
0.88345546,4.530441,-2.5150404,5.264245,12.449942,-1.7847432,1
0.9342868,-1.1835897,-0.11082425,1.1424534,1.5802852,-1.2554291,0
0.876937,4.53828,-2.5218349,5.255444,12.443374,-1.7779557,1
0.9913959,-1.1363136,-0.04246446,1.2170948,1.5107158,-1.3164706,0
0.84074867,4.53848,-2.560913,5.2831736,12.476332,-1.7374158,1
1.0068145,-1.1146657,-0.1028091,1.1573095,1.5710715,-1.3252401,0
0.8562654,4.517237,-2.5455914,5.3060284,12.492641,-1.752727,1
0.9621599,-1.1695094,-0.054921966,1.2056521,1.5227513,-1.2914702,0
0.84032995,4.5296416,-2.5621712,5.299311,12.494758,-1.735889,1
