0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,class_numeric
1.7773814,5.1706247,3.2829494,8.763077,5.087436,6.8520555,3.4646451,5.73247,4.8163342,5.9306436,6.343183,3.1587296,5.8075557,6.0076847,4.3501706,6.014474,7.630334,5.5099053,4.9199123,4.4404116,5.517966,5.182393,5.594323,5.1266885,4.8655586,0
1.7127993,5.2018647,3.2667792,8.778877,5.0383205,6.8407497,3.4893584,5.7414894,4.818395,5.919295,6.3353667,3.151737,5.8427005,6.002867,4.316366,6.0235763,7.6338663,5.5311747,4.8710365,4.4353614,5.5057793,5.1789207,5.5821004,5.140918,4.8613195,1
4.5721636,4.578339,3.164794,9.348457,6.107274,5.6835237,3.7673647,5.699086,5.149135,5.837966,6.234248,4.138158,5.358462,6.4077687,4.4775224,5.431313,6.461687,4.7774706,5.2998266,3.9252064,5.5821605,5.681874,5.750129,5.27793,4.8856583,2
13.31902,4.7568684,6.0035806,8.884617,9.688068,5.382013,3.7113266,6.3183937,4.5163493,5.6249423,6.746169,8.373047,6.3505683,8.4606,4.970567,4.176784,5.2931614,5.2909102,5.7510977,4.8860493,5.551233,4.5520515,6.06984,6.1095667,7.057056,0
13.397088,4.743763,6.0110416,8.8864975,9.707038,5.404593,3.662886,6.3761153,4.5528703,5.659782,6.748979,8.395172,6.369195,8.491116,4.971216,4.182898,5.2508597,5.2966146,5.7089405,4.916491,5.6099954,4.497454,6.149717,6.1466613,7.06007,1
13.244737,4.8216968,5.982453,8.810538,9.532794,5.287924,3.7256684,6.2052884,4.4789367,5.546359,6.831288,8.31519,6.363573,8.520884,4.886888,4.1056166,5.233052,5.3438954,5.734724,4.8369064,5.551815,4.5200963,6.0439,6.074379,7.0196733,2
1.8682686,5.199957,3.3003905,8.831051,5.0784717,6.786145,3.5274518,5.731605,4.8223276,5.9408765,6.3727145,3.200015,5.8319907,5.996248,4.3338437,5.9627566,7.5497284,5.5055985,4.912005,4.3691907,5.5326552,5.199875,5.610202,5.1109285,4.862745,0
1.7666107,5.242698,3.2361445,8.82073,4.997177,6.797368,3.5395405,5.7616186,4.8302736,5.977987,6.3257446,3.1390147,5.8904247,5.9551935,4.2910757,5.9977045,7.5877314,5.50875,4.8361,4.3951983,5.5607204,5.2289104,5.5816593,5.1507263,4.910205,1
4.343296,4.6646733,3.1210442,9.346216,6.038507,5.7413116,3.8193314,5.7457256,5.1807203,5.8543444,6.2063518,4.03736,5.4184,6.3479805,4.443036,5.481427,6.5350795,4.8035245,5.3106956,3.9159632,5.566933,5.6683927,5.739512,5.280471,4.9132786,2
13.3272295,4.8190594,5.9337482,8.857052,9.648213,5.3320055,3.6812472,6.299389,4.5287375,5.626642,6.82348,8.368027,6.4511795,8.435216,4.9589777,4.2157598,5.2739024,5.2451663,5.7906823,4.864428,5.5478425,4.5675964,6.0937705,6.0434647,7.0345144,0
13.383869,4.744348,6.0091515,8.886664,9.708189,5.4054403,3.66336,6.3735557,4.5509043,5.6628675,6.747386,8.391493,6.3684697,8.482275,4.969674,4.185305,5.260337,5.293449,5.7149568,4.914337,5.6088834,4.509407,6.133332,6.147392,7.057531,1
13.232818,4.8133655,5.992746,8.82002,9.563174,5.3214817,3.6730986,6.2646046,4.5051804,5.619705,6.8131704,8.293366,6.374143,8.477879,4.873314,4.1481867,5.277479,5.3249993,5.7270546,4.828278,5.5972395,4.543598,6.0104184,6.104611,6.997859,2
1.985174,5.1966615,3.3300743,8.875531,5.08994,6.7104497,3.5647206,5.709126,4.829539,5.9431453,6.358151,3.2773817,5.824825,6.031658,4.34476,5.9005127,7.4697704,5.481637,4.9328136,4.3312883,5.542011,5.2244167,5.6282606,5.0738697,4.8831673,0
1.6748494,5.1994305,3.2467473,8.758258,5.0358047,6.8657937,3.4736028,5.753958,4.8308506,5.896916,6.3178964,3.1336586,5.840004,6.0159974,4.3103857,6.0577264,7.6620483,5.540607,4.8621387,4.457791,5.486196,5.164924,5.565074,5.162431,4.8560376,1
4.5812173,4.598314,3.2011087,9.373553,6.048077,5.671043,3.795985,5.675902,5.1512504,5.813329,6.2072845,4.1679597,5.3741617,6.4218655,4.4450765,5.385138,6.437788,4.79251,5.244187,3.9107542,5.56558,5.680459,5.742217,5.2356973,4.8932095,2
13.40125,4.792076,6.0371056,8.832586,9.685471,5.33342,3.7529166,6.310828,4.5117393,5.5589094,6.81088,8.492653,6.398082,8.549193,5.087533,4.12591,5.2369285,5.2194805,5.732549,4.887402,5.514093,4.4694786,6.1567864,6.052504,7.1649194,0
13.457254,4.7371526,5.9920235,8.896661,9.745885,5.44457,3.6212995,6.4270883,4.576699,5.6984205,6.7480845,8.43238,6.3941994,8.512376,4.996714,4.192254,5.218069,5.2770214,5.699417,4.954646,5.653984,4.4621983,6.2133775,6.193529,7.0784907,1
13.239558,4.808012,5.9503984,8.836176,9.582851,5.3677144,3.5983663,6.3099813,4.5258036,5.676569,6.7974997,8.236631,6.3781624,8.424852,4.81572,4.1861835,5.293592,5.3679514,5.712533,4.848567,5.6692405,4.5923557,6.029061,6.1617494,6.924455,2
1.7307209,5.178788,3.2918353,8.712209,5.060386,6.890228,3.4326596,5.689884,4.7530537,5.9993415,6.3199162,3.121727,5.816496,5.9696155,4.3628674,5.9839106,7.6783485,5.5171103,4.8969293,4.495224,5.56402,5.1967597,5.596082,5.084659,4.9169955,0
1.6638654,5.206618,3.2348247,8.745014,5.0208373,6.878344,3.4690118,5.7533164,4.824533,5.919039,6.2955036,3.1123736,5.8493357,6.004933,4.3080316,6.059054,7.679106,5.5395627,4.8500023,4.4755673,5.502423,5.173215,5.5573244,5.161158,4.882288,1
4.591669,4.57624,3.2509995,9.368538,6.0196342,5.6385345,3.8003657,5.6338334,5.1226544,5.7876234,6.181141,4.2238894,5.3869944,6.4549227,4.421266,5.3374186,6.392833,4.8182673,5.2128873,3.9288847,5.5397797,5.6670356,5.7216535,5.204099,4.910687,2
13.426971,4.7596188,5.9657083,8.896997,9.70346,5.417265,3.6304293,6.384513,4.5396457,5.669643,6.77057,8.442222,6.4175243,8.473784,5.001439,4.1790905,5.201976,5.2684207,5.7560277,4.9624376,5.6392884,4.51116,6.178203,6.1604896,7.0835953,0
13.39214,4.751739,6.023684,8.875445,9.703623,5.3960805,3.6726239,6.3688126,4.5490017,5.649473,6.7585783,8.403904,6.370867,8.505473,4.983165,4.1741548,5.251809,5.287624,5.70232,4.9080896,5.600684,4.489399,6.143411,6.1405134,7.0720086,1
13.289764,4.804465,5.9884763,8.830541,9.614129,5.371492,3.6015527,6.338944,4.560757,5.6948977,6.80238,8.289778,6.4137177,8.453329,4.864079,4.203474,5.2949367,5.3120914,5.681917,4.8438106,5.66653,4.5400443,6.0456576,6.1598377,6.965118,2
1.7614113,5.260483,3.2296562,8.830019,4.9864936,6.7967744,3.5505903,5.773104,4.8347425,5.988815,6.334274,3.1238437,5.9078374,5.9338927,4.276827,6.0030203,7.587219,5.512366,4.8231025,4.3840075,5.569863,5.2326984,5.5776567,5.157501,4.9067454,0
1.7301127,5.3322277,3.1745753,8.87698,4.89257,6.7618346,3.616514,5.813312,4.854187,6.009395,6.327407,3.0958498,5.992482,5.8882275,4.202647,6.0121336,7.5679955,5.5279756,4.7252183,4.34758,5.587526,5.256471,5.5565085,5.200374,4.92517,1
4.631568,4.618513,3.2170532,9.40845,6.0135217,5.665629,3.8189418,5.6756816,5.1801043,5.7976823,6.1969724,4.18125,5.370385,6.4299564,4.427886,5.3564553,6.4238544,4.7847395,5.206186,3.8791814,5.5672674,5.693362,5.7512074,5.2089596,4.882509,2
13.363987,4.8027196,6.029483,8.8293295,9.664965,5.3316793,3.7365487,6.3021407,4.5285735,5.5825233,6.8161106,8.431148,6.413767,8.518649,5.0197163,4.153434,5.2570143,5.2395635,5.7250137,4.856043,5.5249987,4.492524,6.1331353,6.0494785,7.1051416,0
13.3369875,4.7525606,6.0342174,8.865415,9.6563225,5.3669314,3.6951873,6.3265514,4.530399,5.622732,6.75773,8.35955,6.342351,8.499914,4.9341416,4.151721,5.2550697,5.3300095,5.695508,4.8842907,5.5861173,4.4977527,6.0899134,6.120504,7.0441065,1
13.178315,4.8281283,5.968696,8.809377,9.519924,5.3061175,3.650559,6.242923,4.495629,5.6317844,6.8222246,8.230213,6.365754,8.447173,4.814148,4.1515536,5.290597,5.359303,5.728374,4.8121705,5.6173983,4.573719,5.9679813,6.1037054,6.949136,2
