0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,class_numeric
9.661998,-2.1078038,2.9997318,8.921722,10.686075,10.698758,8.249467,3.5714447,7.1396284,6.91555,2.628489,5.9616632,2.2549005,2.8166163,5.9358134,7.6235824,8.478854,2.9168067,2.9332845,7.823516,3.8258283,2.7716744,2.527801,4.6204863,8.996952,4.6670985,5.2835164,5.3810954,0
9.706501,-2.0740838,2.9577,8.887254,10.716496,10.747916,8.321586,3.5358086,7.1642013,6.9071074,2.6039557,5.9706364,2.2578185,2.8289094,5.9607973,7.6418977,8.460577,2.9432564,2.95622,7.7811937,3.8464913,2.7401645,2.5380716,4.6575313,9.041659,4.6767797,5.2906375,5.356877,0
9.695445,-2.072114,2.9661956,8.890077,10.721076,10.745434,8.285197,3.5365918,7.142087,6.927098,2.6313577,5.938215,2.2285192,2.846169,5.9664454,7.6307344,8.447728,2.9168668,2.929867,7.790706,3.837797,2.7451956,2.5055766,4.6528077,9.030397,4.6972275,5.3100047,5.385727,0
9.678263,-2.0887399,2.98323,8.9066515,10.704987,10.730855,8.27051,3.5532196,7.1417146,6.922103,2.6309097,5.9500523,2.2410321,2.831067,5.9505644,7.628202,8.463301,2.9158697,2.9329283,7.8076806,3.8316247,2.7584484,2.5171216,4.636051,9.013332,4.6825743,5.295855,5.383848,0
9.680225,-2.0965426,2.979328,8.902633,10.703849,10.681268,8.199981,3.5585663,7.1451344,6.923135,2.6355722,5.945751,2.2400687,2.834065,5.9482756,7.61762,8.46533,2.910012,2.9241424,7.80544,3.8193552,2.7644064,2.5143979,4.639555,9.015104,4.6796184,5.2864113,5.3893323,0
9.6554165,-2.1240785,3.0046582,8.923614,10.675265,10.611455,8.131086,3.584614,7.1432467,6.918437,2.632999,5.954766,2.250668,2.8176293,5.9309545,7.6135473,8.484659,2.9117696,2.9248624,7.828813,3.8140874,2.7813957,2.522567,4.6171827,8.9903965,4.663169,5.2767677,5.386401,0
9.6748295,-2.1051836,2.984695,8.90629,10.69291,10.637154,8.1478815,3.5665138,7.1524,6.922233,2.631396,5.953623,2.24574,2.8305066,5.945767,7.6206074,8.470415,2.9141486,2.9298658,7.810681,3.8205414,2.7655056,2.524825,4.636114,9.010868,4.6736865,5.283585,5.383905,0
9.666636,-2.1107347,2.9938471,8.914681,10.684941,10.662685,8.192123,3.5725412,7.1495175,6.919566,2.6273642,5.9585214,2.2503142,2.8230457,5.940657,7.6242294,8.476386,2.918502,2.9337974,7.818787,3.8254445,2.7690785,2.5282187,4.6277204,9.002144,4.6690273,5.2861934,5.3797436,0
9.670198,-2.1122491,2.9890442,8.909384,10.686574,10.628323,8.142765,3.572738,7.1560874,6.9235973,2.631285,5.953428,2.245793,2.8290977,5.942844,7.620288,8.473886,2.9142165,2.9302807,7.8148704,3.818659,2.7688904,2.5267038,4.6326504,9.006441,4.6709476,5.2824097,5.3833632,0
9.665835,-2.101844,2.996328,8.918165,10.691148,10.703702,8.247693,3.5658095,7.13595,6.916866,2.6282642,5.9564695,2.2495716,2.8207989,5.9409704,7.6251283,8.473698,2.917835,2.9320388,7.8196645,3.8299642,2.7675917,2.5212429,4.623989,9.000305,4.6726875,5.2910805,5.381815,0
9.615791,-2.1482153,3.0470655,8.964011,10.646658,10.692743,8.305542,3.6124756,7.106752,6.9057055,2.6315136,5.9609804,2.265572,2.7851603,5.898819,7.605564,8.511908,2.9119875,2.9187658,7.866882,3.8104584,2.811457,2.5186784,4.574427,8.947389,4.641382,5.271154,5.387686,0
9.589133,-2.1749704,3.0746186,8.9891405,10.623588,10.666683,8.316564,3.6382704,7.0860386,6.8971276,2.633488,5.9613404,2.2750838,2.7644708,5.8742604,7.5902963,8.533535,2.9080677,2.9064858,7.891895,3.7979596,2.838487,2.5125697,4.5468407,8.917979,4.624175,5.259996,5.392677,0
