0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,active_hand
9.751042,4.85903,4.8365536,6.606685,5.579989,4.7105203,4.96497,4.1453896,6.3808603,3.3777728,4.340912,6.110311,-5.0709667,6.463381,4.9355335,3.7678516,5.8880625,5.110182,5.162168,5.1608834,1
0.7263385,13.467471,5.031734,3.8737366,4.987473,6.1677303,4.7057924,5.375727,5.5276065,3.6768808,5.1704545,5.2750034,4.4050627,5.5301023,5.601176,4.766896,5.051273,4.8897166,5.028378,5.2817917,0
9.799861,4.7937927,4.7928624,6.563653,5.5556283,4.714558,4.9548445,4.13216,6.376837,3.3195653,4.3335686,6.0924597,-5.16332,6.493545,4.906275,3.779881,5.8735037,5.1400084,5.1142473,5.1740026,1
0.78338087,13.421116,5.0892663,3.81619,4.9568753,6.2254725,4.7120833,5.375305,5.5602927,3.7137809,5.2274013,5.274005,4.424579,5.5293083,5.64005,4.756502,5.088427,4.873778,4.9872756,5.3274436,0
9.756796,4.84452,4.827401,6.589976,5.577399,4.72058,4.964739,4.136291,6.370998,3.3771462,4.3475976,6.1055374,-5.0910716,6.471251,4.9324565,3.758519,5.880987,5.117901,5.1619573,5.168482,1
0.73001087,13.468549,5.035381,3.8701296,4.978912,6.171487,4.6968455,5.384787,5.5362487,3.6842847,5.1736073,5.284335,4.3975334,5.539545,5.607486,4.7748423,5.047689,4.8802843,5.0310736,5.2804656,0
9.771542,4.8286448,4.8133802,6.5784407,5.569108,4.723631,4.960184,4.12957,6.368062,3.3614023,4.346692,6.097641,-5.1079783,6.4813204,4.922811,3.7597668,5.873496,5.127452,5.1484027,5.1755643,1
0.74829185,13.451256,5.0538893,3.8515236,4.972369,6.190108,4.7039757,5.380112,5.543419,3.6936514,5.1921735,5.279156,4.4094543,5.53439,5.6181417,4.765993,5.0632963,4.8791375,5.0147486,5.2976027,0
9.761196,4.833061,4.8188906,6.5747366,5.574347,4.7404494,4.971401,4.121657,6.3512173,3.3827915,4.3683248,6.1055775,-5.1053934,6.4820466,4.9320245,3.7352388,5.8733673,5.1288357,5.164093,5.1779447,1
0.74388635,13.454817,5.049348,3.8561618,4.9756765,6.1854267,4.704573,5.378802,5.5398583,3.689976,5.187601,5.277967,4.4085474,5.533171,5.6143947,4.76617,5.060773,4.881662,5.0175977,5.2942476,0
9.724855,4.9083405,4.871198,6.675525,5.5975986,4.6728673,4.9688025,4.173033,6.416496,3.3917089,4.3226714,6.1245956,-4.9940143,6.432989,4.953025,3.8081248,5.9091215,5.080915,5.179551,5.1390276,1
0.68934846,13.4913845,4.9942455,3.9106252,5.004375,6.129642,4.6967335,5.3814445,5.5077257,3.6560595,5.1368,5.2800584,4.3932047,5.534966,5.5790663,4.771533,5.0307107,4.897168,5.0484023,5.2582026,0
9.73104,4.8830895,4.857831,6.62665,5.5924764,4.708463,4.9732394,4.1551585,6.382862,3.3981252,4.34432,6.1227536,-5.043151,6.4471793,4.950187,3.7641923,5.9000235,5.0948358,5.180064,5.1499166,1
0.73913914,13.453659,5.04523,3.8604794,4.9834156,6.1811175,4.7097397,5.374158,5.531652,3.6816325,5.1835375,5.2729383,4.4168816,5.528168,5.6072693,4.757512,5.065908,4.887347,5.013786,5.2959332,0
9.719532,4.9194584,4.8786016,6.6746554,5.598984,4.676712,4.9705396,4.1774125,6.4134564,3.3984098,4.3242755,6.1300564,-4.9883294,6.4279704,4.95608,3.7966783,5.9143734,5.076119,5.181614,5.1337633,1
0.7200274,13.469982,5.025389,3.8799183,4.989143,6.1611586,4.702951,5.3783803,5.525126,3.6741812,5.1652,5.2773995,4.404592,5.532526,5.5983405,4.7664514,5.0496783,4.8892245,5.029831,5.279415,0
9.716285,4.9115753,4.877132,6.6657,5.600522,4.6751986,4.971036,4.178966,6.4152327,3.4038322,4.324008,6.1314344,-5.0007424,6.426665,4.958411,3.7954023,5.9174824,5.074371,5.1859612,5.1307173,1
0.7183868,13.470945,5.0236564,3.8815172,4.9881396,6.159427,4.7004685,5.380978,5.5258265,3.6746671,5.1640964,5.27989,4.4026675,5.535051,5.5985403,4.768104,5.048037,4.8873444,5.031045,5.2784038,0
9.747622,4.892409,4.844544,6.6444736,5.5774035,4.686742,4.954679,4.1636066,6.4055257,3.3770695,4.3204226,6.1069694,-5.014846,6.447195,4.9336357,3.7924576,5.8968034,5.0943584,5.160593,5.1486635,1
0.7318343,13.455622,5.0375314,3.8675957,4.9740686,6.1731887,4.696498,5.3906918,5.539974,3.688799,5.1785445,5.288587,4.4167566,5.5442243,5.6126943,4.7597213,5.063018,4.8735423,5.015667,5.2936935,0
9.752232,4.900846,4.8531647,6.7170773,5.5802417,4.638529,4.9521966,4.172939,6.4480805,3.3502839,4.292775,6.101842,-4.9648757,6.440641,4.930523,3.8790317,5.8977566,5.0891,5.1466303,5.1473846,1
0.6834538,13.488252,4.98844,3.916517,5.008154,6.12326,4.703436,5.374999,5.5041404,3.6525586,5.1329722,5.27359,4.399362,5.5285454,5.5756707,4.7663727,5.0347395,4.9022503,5.044015,5.2613626,0
0.65823156,13.505241,4.9628243,3.9420044,5.0239396,6.0976367,4.702918,5.372488,5.4870133,3.634843,5.107637,5.271026,4.3927526,5.525808,5.557416,4.7680483,5.0211353,4.91314,5.0582905,5.244502,0
9.737173,4.9331374,4.876934,6.773552,5.597604,4.6025453,4.957811,4.2026086,6.4825277,3.348314,4.2746577,6.12001,-4.9108076,6.4139676,4.9456916,3.9114578,5.9233155,5.0628552,5.1519117,5.1209993,1
0.74524474,13.451871,5.050764,3.854464,4.9665174,6.1866665,4.6949973,5.390246,5.54788,3.697191,5.19037,5.2888703,4.406847,5.5442214,5.6209354,4.768792,5.0622005,4.869835,5.0152454,5.2972527,0
9.934895,4.6930723,4.710377,6.5736837,5.465387,4.6100273,4.9184732,4.162445,6.4785514,3.0885522,4.231449,6.0672636,-5.3076506,6.561014,4.8064165,3.9521976,5.876737,5.204977,4.918122,5.1605687,1
0.75915134,13.44044,5.0648727,3.8403733,4.9629374,6.200967,4.701717,5.3845406,5.552667,3.703443,5.2038293,5.2830577,4.4137106,5.5383334,5.6282597,4.7636676,5.0721145,4.871316,5.004817,5.308481,0
9.928987,4.6901703,4.7086587,6.559993,5.4734597,4.6274853,4.9171786,4.1543384,6.461709,3.1096637,4.241624,6.0628686,-5.3078732,6.556752,4.81289,3.9282644,5.8706617,5.200867,4.937392,5.1672816,1
0.7432131,13.45356,5.0490026,3.8561416,4.9682574,6.1850185,4.6953645,5.3895693,5.5463295,3.6955664,5.1886444,5.288182,4.4059563,5.543497,5.619335,4.769222,5.060711,4.871237,5.016756,5.2955666,0
