0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,class_numeric
1.1434658,12.431031,6.685014,0.50751746,-0.11347027,-0.5340588,1.1606524,6.316267,3.7378535,2.815457,7.0919566,3.4538941,7.8829746,7.1310644,5.186852,2.219366,1.5348722,7.005314,6.902288,1.4434266,5.8790736,7.6155214,2.8071125,5.357849,0.4615966,3.8981955,4.8597555,0
1.1253905,12.420788,6.6721487,0.527478,-0.12698096,-0.5402911,1.1503018,6.317245,3.7708344,2.802792,7.1128874,3.4597774,7.868239,7.10013,5.1568594,2.2392159,1.5431895,7.02336,6.922094,1.4640349,5.8765087,7.601296,2.806198,5.3623304,0.4785878,3.8947084,4.831518,0
1.1256104,12.428093,6.672254,0.5197476,-0.106698334,-0.51412094,1.169319,6.309675,3.7635016,2.8195977,7.10535,3.442024,7.8769584,7.0995874,5.158843,2.2340915,1.5447465,7.0203867,6.9112206,1.4562632,5.8709965,7.60625,2.8013732,5.3713737,0.49243474,3.8914382,4.827073,0
1.1552906,12.438098,6.697361,0.4917408,-0.10021321,-0.50880563,1.1858864,6.30822,3.7379,2.83263,7.075285,3.4501352,7.900506,7.126761,5.184228,2.203471,1.523498,6.990211,6.887562,1.4273297,5.879236,7.6289,2.8098302,5.353476,0.47565135,3.906051,4.8514433,0
1.1286002,12.443277,6.673357,0.51566744,-0.056612898,-0.47034433,1.2479874,6.3290205,3.6870942,2.8167558,7.082891,3.4562898,7.8931537,7.1582956,5.2254868,2.2279422,1.5250375,7.00979,6.9082136,1.4442761,5.8886805,7.598451,2.8249395,5.36655,0.5116453,3.9049423,4.8393173,0
1.1258308,12.445223,6.672165,0.5184052,-0.046380077,-0.4636038,1.2685319,6.339945,3.6488793,2.809485,7.0750685,3.4680073,7.896619,7.189699,5.2600565,2.229971,1.5155771,7.0080895,6.9069533,1.442186,5.898539,7.5913887,2.8367863,5.3624625,0.51172113,3.9110343,4.8502355,0
1.1177145,12.441894,6.6632586,0.5217678,-0.052298564,-0.4663031,1.2414455,6.326662,3.6936433,2.8174407,7.0921073,3.4442227,7.885153,7.1447597,5.21563,2.2372608,1.5376573,7.020764,6.9118443,1.4516178,5.8815956,7.593412,2.8170714,5.378317,0.522335,3.8953073,4.829181,0
1.1270485,12.443553,6.6721253,0.514983,-0.05592441,-0.47449693,1.241011,6.3342214,3.67006,2.8140469,7.078103,3.4574947,7.892888,7.174297,5.2418323,2.2287261,1.5243175,7.009413,6.9021897,1.4414232,5.8917575,7.5965724,2.8270907,5.3670874,0.505151,3.9040782,4.8506074,0
1.1205109,12.444116,6.666443,0.52267617,-0.04659081,-0.4663318,1.2591866,6.340622,3.6551049,2.8074396,7.0816007,3.4640646,7.8906136,7.182793,5.2539144,2.2353568,1.5231644,7.0145264,6.9106855,1.44736,5.895478,7.587476,2.8342054,5.3687897,0.5122711,3.9056149,4.8453755,0
1.1485226,12.434506,6.6894,0.49937758,-0.10353833,-0.5251134,1.1799635,6.3177156,3.7155597,2.8208091,7.079552,3.456367,7.889581,7.1513724,5.2081413,2.2123387,1.5289347,6.998053,6.8912125,1.4331737,5.882235,7.6198487,2.8103504,5.354936,0.4593339,3.9002159,4.869219,0
1.1679313,12.435935,6.7051554,0.490251,-0.11420306,-0.5491322,1.185746,6.3327246,3.6663332,2.8085835,7.0616016,3.4908834,7.8980904,7.215835,5.264567,2.1975849,1.5070552,6.979545,6.8869376,1.4204382,5.9004297,7.625055,2.8290322,5.3313813,0.41950148,3.9158847,4.909456,0
1.1788725,12.43561,6.7145057,0.48861673,-0.118259154,-0.56188554,1.2047232,6.349836,3.626949,2.7961905,7.046818,3.521571,7.9039006,7.262906,5.3075337,2.1902692,1.4850909,6.9672318,6.885701,1.4132527,5.919908,7.622721,2.8505085,5.3132734,0.3908291,3.9297504,4.9394464,0
0.83812356,11.513378,6.730953,1.0774599,-1.154441,-1.8864979,0.027564274,6.7198615,4.618073,2.1184132,7.526571,4.744401,7.2675934,7.621679,5.321656,2.6971333,1.3831275,7.096953,7.334532,1.9881448,6.345561,7.577467,2.6867726,5.066255,0.6243371,3.580898,4.585057,1
0.8473949,11.520249,6.750502,1.070544,-1.1707921,-1.8873354,0.03261765,6.715505,4.6380053,2.1253645,7.5150967,4.747755,7.276544,7.6101837,5.308778,2.700993,1.3997052,7.105617,7.3444285,1.9841272,6.3318286,7.595044,2.6929085,5.0829725,0.6149364,3.590353,4.576797,1
0.8521695,11.5046625,6.7145214,1.0761775,-1.131481,-1.8666524,0.04561685,6.7069664,4.5949073,2.1278698,7.525581,4.724531,7.283521,7.607904,5.3230886,2.6776001,1.3756495,7.0880213,7.3153677,1.9713575,6.3443294,7.561705,2.7025423,5.0574102,0.6433053,3.595574,4.5784993,1
0.8306032,11.50487,6.726056,1.0835395,-1.1602019,-1.8979783,0.01555672,6.7202716,4.6203413,2.1174033,7.530501,4.754927,7.2555227,7.632779,5.3271503,2.7031565,1.3760405,7.088159,7.33874,1.9952903,6.352611,7.5720425,2.6799989,5.059443,0.6283009,3.571444,4.588615,1
0.8041432,11.487686,6.6897364,1.0996956,-1.131005,-1.9051551,-0.005914321,6.727762,4.5820503,2.0964952,7.5590005,4.75143,7.22276,7.6702294,5.354646,2.7009652,1.3407828,7.063243,7.317373,2.0100293,6.386143,7.539699,2.6614113,5.0247254,0.64280015,3.5410388,4.609001,1
0.80205077,11.501298,6.661243,1.097786,-1.1042031,-1.8889669,0.0043596476,6.7325478,4.5514364,2.0674117,7.587293,4.7295856,7.225298,7.6787887,5.3676367,2.6822388,1.3202326,7.0759497,7.2859383,2.000325,6.409904,7.5177474,2.6711516,4.99964,0.64638424,3.5393302,4.6178856,1
0.81480145,11.501655,6.710299,1.0912137,-1.1502333,-1.9112062,-0.0039447215,6.7304893,4.6047606,2.103694,7.545765,4.760691,7.2362857,7.6522512,5.340288,2.7077384,1.3603636,7.083035,7.3305216,2.0064855,6.369628,7.559198,2.6682062,5.0433874,0.62945503,3.554053,4.5998993,1
0.80943185,11.499481,6.706846,1.0926702,-1.1542548,-1.9185958,-0.01106366,6.7324185,4.606775,2.1063995,7.5460525,4.7685413,7.229042,7.6601205,5.344091,2.7139459,1.3556788,7.079342,7.3352213,2.012475,6.372707,7.5555897,2.6612058,5.0396113,0.6280275,3.547693,4.6022925,1
0.81719995,11.499851,6.719113,1.0898032,-1.1604024,-1.9159914,-0.0053295344,6.7280445,4.6173725,2.1132407,7.536693,4.767387,7.2379036,7.6484222,5.3365064,2.71262,1.3669909,7.0798626,7.340633,2.0073154,6.3618164,7.5655046,2.666543,5.051237,0.6281761,3.5563843,4.5977902,1
0.8262206,11.503334,6.7193937,1.0860989,-1.1545515,-1.9013176,0.009549263,6.723542,4.612937,2.1143045,7.535146,4.7554555,7.250544,7.6376,5.331785,2.7035077,1.3701291,7.085469,7.334579,1.9980122,6.358145,7.566765,2.6766787,5.053392,0.62939984,3.5669315,4.592238,1
0.8142754,11.500666,6.689742,1.0923327,-1.1296515,-1.8974282,0.004756611,6.727481,4.58325,2.0936427,7.559553,4.7447195,7.2377195,7.657392,5.3506894,2.6937828,1.3445518,7.0778375,7.311941,1.9994495,6.3831267,7.5409174,2.672794,5.026344,0.6403557,3.5532587,4.605644,1
0.82844085,11.511284,6.659523,1.0826641,-1.1155667,-1.8964665,0.0051687304,6.710792,4.5627036,2.070919,7.5848207,4.7363496,7.242915,7.6477866,5.362129,2.682157,1.32314,7.083748,7.286859,1.9868691,6.4017954,7.5111246,2.6873195,5.001591,0.6613519,3.5636556,4.6075706,1
0.44559172,12.110217,6.9771276,0.86756676,5.2304215,10.4451275,0.8919342,5.7603135,4.7913394,2.4526453,7.1009607,3.9319384,8.484849,8.04867,7.29627,2.2523034,1.5579932,6.435905,7.7310104,1.9674996,8.274199,6.0925865,2.012828,6.1866207,3.682751,4.1688986,5.0158496,2
0.4412618,12.10875,6.9762797,0.868227,5.2416453,10.45271,0.8885451,5.7577724,4.79461,2.4528165,7.10071,3.924045,8.485739,8.048014,7.2956877,2.2561138,1.5603683,6.4355483,7.7310686,1.967713,8.262368,6.0928373,2.0106745,6.1866627,3.6848867,4.1664777,5.0153613,2
0.4445888,12.106982,6.978815,0.86076343,5.2320347,10.446695,0.89053357,5.758184,4.7928,2.444416,7.1093206,3.9333887,8.491193,8.043286,7.3035884,2.2486217,1.5612861,6.4275517,7.7221656,1.9713537,8.27165,6.08424,2.0113568,6.1930933,3.6843348,4.166944,5.0147657,2
0.44940558,12.110017,6.9785137,0.8631529,5.218994,10.432009,0.9064627,5.761966,4.77607,2.4493427,7.104388,3.944097,8.484685,8.047794,7.3006177,2.2488472,1.5568521,6.4339314,7.729655,1.9683235,8.28298,6.089273,2.0141098,6.187562,3.681046,4.170235,5.0165734,2
0.4419778,12.1172285,6.969808,0.88702106,5.232426,10.442345,0.89499843,5.7611766,4.788375,2.4751234,7.0771284,3.92368,8.468276,8.062529,7.2757387,2.2668538,1.5531578,6.458557,7.75514,1.9573072,8.27398,6.116361,2.0118492,6.1698184,3.6831937,4.1692233,5.016881,2
0.46351486,12.104708,6.9577456,0.8621401,5.2077923,10.42124,0.9142634,5.766748,4.7693615,2.45496,7.0965705,3.9495227,8.48214,8.031292,7.298531,2.2424493,1.554164,6.4368734,7.734998,1.9858965,8.295042,6.0968413,2.017315,6.193495,3.6745121,4.172578,5.0010643,2
0.41040555,12.122616,6.938178,0.93026763,5.2977076,10.508063,0.8249788,5.743025,4.8614507,2.5075135,7.0425377,3.8461692,8.455039,8.069407,7.234143,2.3010418,1.5630264,6.486373,7.779059,1.9548507,8.223589,6.150793,1.9926008,6.152729,3.70148,4.150594,4.999522,2
0.40341443,12.121475,6.92767,0.9351229,5.3134522,10.525567,0.80749345,5.736765,4.8794518,2.5064795,7.043473,3.8282201,8.456434,8.063696,7.230652,2.3046043,1.5680358,6.4848943,7.7751565,1.9609481,8.211356,6.1499763,1.9859757,6.1543994,3.7071483,4.1437745,4.9909267,2
0.40062445,12.121293,6.9242563,0.93445563,5.3157744,10.530039,0.80035686,5.733506,4.886914,2.5027897,7.04741,3.8240516,8.459296,8.059895,7.2320566,2.3031063,1.5711694,6.480979,7.770123,1.9645411,8.209899,6.1461315,1.9826497,6.1575365,3.7099411,4.140227,4.9870214,2
0.39723465,12.119174,6.9211574,0.93375015,5.3244495,10.538401,0.793283,5.730449,4.894041,2.499361,7.050833,3.8165388,8.462144,8.056002,7.2335577,2.3039665,1.5741423,6.4775023,7.765607,1.9679503,8.202335,6.142755,1.9799846,6.1603017,3.7124908,4.1372185,4.983768,2
0.40236697,12.122054,6.9284353,0.93638253,5.314763,10.527354,0.80466914,5.7365336,4.8824315,2.5078046,7.0421033,3.8266752,8.456234,8.065023,7.2292986,2.3056176,1.56809,6.4859214,7.7760706,1.9595201,8.210663,6.151303,1.985915,6.1537085,3.7074585,4.143722,4.9917874,2
0.40830427,12.123841,6.935334,0.93455553,5.301567,10.511548,0.82134634,5.742136,4.865292,2.5111036,7.0388007,3.8407075,8.452335,8.07122,7.229991,2.3043184,1.5629513,6.4898467,7.7822456,1.9538083,8.221081,6.154524,1.9913454,6.1499496,3.702584,4.149576,4.998461,2
-0.13124968,2.7552748,7.9562106,-0.116632015,11.055283,-0.17683746,4.140419,-0.8026274,1.2939239,0.5827219,5.709794,3.8748295,9.992489,8.598143,6.035322,2.3696003,2.231359,7.0343966,7.9312134,1.8173295,5.51923,7.863208,1.8448927,5.913723,2.822282,4.51571,3.8623202,0
0.17518455,-1.2029585,-2.6652992,1.2919327,1.7074529,6.147182,4.777576,6.333906,2.4823408,3.2642033,7.7403727,4.318243,8.002828,7.87456,6.083199,2.5677207,1.575531,6.927919,7.447716,1.7835158,7.233419,6.7040234,2.4034164,5.4931116,2.1747513,4.3031297,4.7113795,0
0.17109473,-1.2073606,-2.6771624,1.2993574,1.6966069,6.1510377,4.776107,6.351591,2.4764798,3.265418,7.7452765,4.320733,8.02656,7.8793406,6.084113,2.5616362,1.5709481,6.937425,7.45704,1.8054614,7.2524405,6.7003574,2.3988564,5.5054574,2.1793518,4.318112,4.7101107,0
0.16539595,-1.2041942,-2.6817696,1.3043314,1.6985135,6.1520486,4.773357,6.352534,2.4679468,3.2649658,7.739786,4.324801,8.027695,7.876888,6.090823,2.5526073,1.5637982,6.9383817,7.461016,1.8079296,7.25601,6.698571,2.3974047,5.5077167,2.1767778,4.3214216,4.7052026,0
0.14457004,-1.280288,-2.7752745,1.3469726,1.5687569,6.1729627,4.7921987,6.5199313,2.483066,3.2616107,7.8057117,4.3163986,8.277696,7.9137087,6.068723,2.5608637,1.5569912,7.0237923,7.5326853,2.0715885,7.4570327,6.675234,2.3452613,5.6351566,2.257742,4.475744,4.6984677,0
0.15006645,-1.2741406,-2.7620003,1.3438125,1.5814787,6.1728063,4.7905965,6.502674,2.4838746,3.2652042,7.799611,4.318644,8.250316,7.9133515,6.0669785,2.5610204,1.5613397,7.0166965,7.5213046,2.0416727,7.434821,6.6777196,2.3551095,5.6186748,2.249428,4.461252,4.7024627,0
0.13137013,-1.2687926,-2.7999053,1.3519958,1.5729359,6.173708,4.7895436,6.524302,2.4626706,3.2572334,7.798332,4.3209877,8.299504,7.9051347,6.0843344,2.5442157,1.5428128,7.021309,7.554246,2.09247,7.4642916,6.6737022,2.3331141,5.6581526,2.2506986,4.4764547,4.6931114,0
0.097022936,-1.2372304,-2.8406126,1.3647044,1.5881886,6.174701,4.7833185,6.534754,2.4257739,3.24352,7.7704463,4.337467,8.342621,7.8762627,6.1195393,2.5092227,1.50819,7.0074663,7.5934606,2.1380153,7.4938,6.6750283,2.300031,5.699387,2.2283812,4.4785314,4.6756024,0
0.099241585,-1.2409506,-2.838799,1.3641177,1.5849805,6.17451,4.7841787,6.536131,2.4292135,3.2439656,7.774031,4.3355894,8.341975,7.8788276,6.1166477,2.5125496,1.5106398,7.0097136,7.5915647,2.1372197,7.4938526,6.6743717,2.301399,5.698013,2.2316642,4.4801235,4.676227,0
0.08413341,-1.2262803,-2.8553324,1.3691639,1.5935892,6.1753387,4.7797737,6.5432086,2.4131453,3.238018,7.759765,4.3445964,8.360331,7.864697,6.1320405,2.4969492,1.4953989,7.000826,7.6078267,2.1564867,7.509417,6.6761904,2.286433,5.7148113,2.2184312,4.481128,4.6692653,0
0.09533796,-1.2374893,-2.848683,1.3720936,1.5886229,6.1756535,4.7846045,6.539864,2.4233584,3.2396843,7.76307,4.3411484,8.352625,7.8758264,6.121482,2.5054607,1.5054878,7.011979,7.6009264,2.155966,7.5101876,6.673471,2.2939134,5.709762,2.2283082,4.487646,4.6690707,0
0.096263,-1.2362729,-2.8411527,1.3645982,1.5889561,6.174647,4.7827916,6.535106,2.4249701,3.2433262,7.769785,4.337904,8.343993,7.875439,6.1203346,2.5084224,1.5074058,7.006633,7.5939393,2.1392086,7.494586,6.6751814,2.2994802,5.7000055,2.2273588,4.4780626,4.6754255,0
0.26814815,-1.1504679,-2.5721457,1.3032845,1.8463783,6.1820054,4.7615595,6.183344,2.4750376,3.3393362,7.6441846,4.376061,7.766391,7.922017,6.031055,2.5414364,1.647381,6.9199095,7.362633,1.5811764,7.0938735,6.735483,2.50036,5.371251,2.088935,4.210466,4.7758894,1
0.25706223,-1.1582286,-2.583839,1.3000653,1.8396059,6.1707077,4.7652454,6.1844225,2.4779756,3.3234296,7.633001,4.3634224,7.7729163,7.912687,6.041939,2.5447998,1.6365157,6.9253774,7.373883,1.6070882,7.1127768,6.727192,2.4873188,5.385796,2.1018906,4.2276974,4.759604,1
0.2673875,-1.1462077,-2.5720387,1.2947607,1.8432965,6.180206,4.761334,6.182693,2.4772103,3.3363125,7.64043,4.371089,7.7657585,7.916236,6.031974,2.5491917,1.648317,6.9146852,7.3637195,1.5793456,7.0903707,6.737936,2.496573,5.373145,2.086139,4.207521,4.7755275,1
0.28553173,-1.1418868,-2.5550058,1.3065509,1.8858186,6.1795087,4.7627835,6.1341,2.4765396,3.342522,7.5996866,4.3830113,7.703426,7.9262595,6.0280576,2.5330565,1.6560757,6.9219093,7.349649,1.5543288,7.072396,6.739343,2.515308,5.3469105,2.076972,4.1978354,4.773738,1
0.27982396,-1.1465458,-2.5626783,1.3064488,1.8894284,6.169751,4.7654066,6.124006,2.4770112,3.3296723,7.577996,4.374432,7.6910915,7.9202905,6.037287,2.5311337,1.6479849,6.928658,7.3571014,1.5685406,7.08402,6.7315207,2.5079858,5.3547964,2.085269,4.210341,4.7590246,1
0.29095146,-1.1356652,-2.5485172,1.298094,1.9095471,6.1678057,4.765441,6.0986843,2.481331,3.3306882,7.5615096,4.3742495,7.657747,7.9173303,6.032987,2.5368345,1.6579648,6.9189167,7.3470144,1.5413822,7.060717,6.73754,2.5161657,5.3392577,2.072975,4.1917796,4.7648726,1
0.29593274,-1.1356134,-2.5440753,1.3080755,1.9018207,6.182528,4.7610292,6.1160617,2.4756613,3.3491452,7.587213,4.389316,7.6770916,7.931111,6.0235624,2.5290554,1.6633319,6.919645,7.3402195,1.53326,7.0555964,6.7434688,2.5253296,5.332931,2.0674472,4.185028,4.778418,1
0.29591423,-1.1310472,-2.5454006,1.2919327,1.958071,6.1427317,4.7773013,6.021633,2.4895673,3.301868,7.468542,4.3604245,7.5670967,7.8997893,6.0458984,2.53559,1.652488,6.9291196,7.3526707,1.5521543,7.067304,6.733262,2.5132852,5.330792,2.0758076,4.208338,4.7356243,1
0.3262555,-1.1141016,-2.53061,1.2989203,2.1919465,6.043712,4.8290057,5.6737065,2.508688,3.1814392,7.0547166,4.325908,7.155421,7.8420434,6.099737,2.4910579,1.6250763,7.0013704,7.376883,1.6229869,7.11907,6.717535,2.5155365,5.282999,2.0869112,4.3082967,4.5961204,1
0.3090909,-1.1045781,-2.518102,1.2868435,2.1908412,6.048975,4.8075824,5.669772,2.498188,3.1971104,7.0508037,4.3270454,7.1498685,7.841963,6.091419,2.5107546,1.6403493,6.9880605,7.361051,1.6273135,7.1159825,6.7160134,2.5266097,5.3074884,2.072182,4.306307,4.6016083,1
0.3218575,-1.1090405,-2.5253172,1.293097,2.1864169,6.048469,4.8208437,5.6785817,2.5031605,3.1917784,7.0601797,4.3236055,7.160415,7.8408394,6.100096,2.4984007,1.6327515,6.9938707,7.369275,1.6150073,7.11119,6.7141304,2.5213578,5.2900534,2.0801537,4.300295,4.5982237,1
0.32680553,-1.1164079,-2.5327117,1.3004849,2.1788974,6.051122,4.8275566,5.692134,2.510652,3.1886737,7.077549,4.330619,7.176027,7.8488255,6.0927844,2.4922535,1.625814,6.9964757,7.376392,1.6157461,7.114175,6.7220473,2.5141659,5.281383,2.0872025,4.2996483,4.60735,1
0.30573142,-1.1329278,-2.5358882,1.3249749,1.8891821,6.210082,4.7517853,6.1430387,2.46361,3.3820393,7.6278224,4.416707,7.7041616,7.9554467,6.0069294,2.514509,1.6730098,6.921703,7.328132,1.5195942,7.0464816,6.7560687,2.5412083,5.3218055,2.054865,4.1744027,4.801076,2
