0,1,2,3,4,5,6,7,8,9,10,active_hand
11.668268,4.692003,4.453855,2.6596463,6.4186125,3.71239,4.306924,4.315394,-1.413533,3.0352495,14.1389265,1
3.3329937,16.76171,5.0571685,4.4498353,5.599746,4.5828857,5.4436755,5.414758,4.8262973,3.2775097,4.698517,0
11.602659,4.6814637,4.4159045,2.7066734,6.417356,3.7131195,4.2931805,4.2438626,-1.5393311,2.9447353,14.263027,1
3.3252094,16.75453,5.072438,4.459747,5.607907,4.5914063,5.4507666,5.4074383,4.834377,3.2707202,4.6911077,0
11.651138,4.6866975,4.440476,2.6767204,6.412622,3.7102487,4.296256,4.3051424,-1.441671,3.0137842,14.16681,1
3.3326097,16.759853,5.061882,4.451401,5.600339,4.5835924,5.443855,5.4144187,4.826851,3.2775092,4.6981544,0
11.653111,4.688316,4.4412575,2.6766171,6.414387,3.70993,4.297348,4.3057685,-1.4402951,3.015775,14.16512,1
3.324675,16.754915,5.0712757,4.4595976,5.6082206,4.591436,5.450992,5.407091,4.8347163,3.2704792,4.6908145,0
11.65216,4.6841197,4.4377885,2.678915,6.409406,3.7067492,4.2944016,4.313501,-1.437174,3.0158741,14.165,1
3.2968771,16.737923,5.1018653,4.487708,5.6355095,4.6186957,5.4755654,5.381776,4.861935,3.2461607,4.6653557,0
11.743588,4.735754,4.492667,2.642983,6.4644094,3.7224693,4.3367333,4.3152328,-1.3350691,3.1179338,14.064935,1
3.3977082,16.807081,4.9812,4.3832607,5.535398,4.518736,5.3855405,5.4742236,4.762167,3.3347366,4.758169,0
11.67415,4.6976724,4.453665,2.6563473,6.4267035,3.7155457,4.308898,4.3274517,-1.4020877,3.042437,14.132047,1
3.3380744,16.753126,5.0357337,4.440735,5.594117,4.5760922,5.446124,5.4140086,4.8208876,3.274324,4.698934,0
11.6938925,4.706191,4.465859,2.647981,6.434885,3.714305,4.3246546,4.3268876,-1.3741609,3.0647244,14.099626,1
