0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,class_numeric
1.1405233,5.782165,3.796022,8.408792,7.055528,6.1355066,4.4408283,4.275836,4.93948,6.017241,5.5064273,5.1875467,5.1863027,5.606341,4.323333,5.0665965,6.5075326,4.489831,5.84169,4.279554,5.004468,5.394888,4.333467,5.1769238,4.2276554,5.8303046,5.7610683,2.9735863,0
1.2404735,5.748064,3.7387328,8.399237,6.996403,6.1793375,4.4428916,4.267338,4.961092,6.0720387,5.4481206,5.223846,5.162497,5.6036305,4.3832526,5.0114474,6.5783033,4.5125995,5.914427,4.226673,5.06227,5.407879,4.329659,5.2066965,4.22817,5.849921,5.818988,2.9168525,1
4.275442,6.4101553,4.463348,8.402185,6.766187,6.031682,4.390656,3.8228343,4.602464,5.0999103,5.7808743,5.025535,4.699034,6.103851,4.6750975,4.5800104,6.542967,5.054591,5.5181494,4.0566216,3.876778,4.7954082,4.582754,5.701123,4.507477,5.2353992,5.361735,3.267765,2
12.860946,6.3572893,5.2649198,9.240632,9.2184305,5.5413423,2.670671,4.883638,5.891317,3.846905,4.5686946,3.29003,4.8387203,4.0478373,3.7086742,6.7978516,3.9374936,4.9238076,4.235386,5.343531,3.3254955,4.9556375,4.59633,6.643386,2.6830153,7.3308926,5.6153297,2.7410576,0
12.689278,6.4506173,5.2182593,9.260811,9.106707,5.634105,2.7136903,4.9130054,5.8332105,3.8849041,4.639908,3.256184,4.7620735,4.1401663,3.7039518,6.7325635,4.060346,4.9265566,4.2278376,5.344851,3.4055119,4.9431076,4.6040583,6.6717253,2.6535022,7.2272882,5.728859,2.6125457,1
12.632407,6.4438577,5.2307796,9.265738,9.077045,5.668685,2.8424902,4.8290696,5.8217993,3.89819,4.658191,3.2825077,4.8158855,4.127731,3.724996,6.706169,4.1264105,4.8676276,4.224668,5.334407,3.4403017,4.9057193,4.5869,6.5544906,2.7844574,7.1901503,5.7333474,2.7758915,2
1.352688,5.75885,3.759991,8.345012,7.02112,6.1653547,4.4373727,4.2572274,4.948954,6.0508924,5.471865,5.163368,5.091652,5.597138,4.3607817,5.028389,6.543876,4.5099654,5.890111,4.2408824,5.0404177,5.399704,4.3220267,5.2090974,4.232841,5.8435473,5.798516,2.9275975,0
1.2078761,5.7366962,3.7440693,8.329214,7.0175514,6.1292753,4.412083,4.2293615,4.913644,6.092016,5.4971447,5.175026,5.0877204,5.5612836,4.41245,5.0024176,6.571802,4.553227,5.9586215,4.1807323,5.084575,5.419943,4.2918878,5.2399383,4.2307153,5.8715935,5.8072104,2.8722115,1
3.984701,6.3046436,4.392031,8.397228,6.7717314,6.1277556,4.429951,3.8749478,4.6962194,5.176611,5.7119875,5.066141,4.7146945,6.057335,4.6057987,4.6353974,6.553078,4.9610167,5.514822,4.159379,4.006594,4.81523,4.5141463,5.6393356,4.5214334,5.2562757,5.3876295,3.2925103,2
12.822663,6.35013,5.2484984,9.193813,9.232778,5.534093,2.6419399,4.9352665,5.9092083,3.8113706,4.5483003,3.2443993,4.781161,4.0331516,3.7071695,6.8109055,3.9326499,4.8930135,4.2194085,5.352804,3.3499894,4.982905,4.637773,6.69619,2.643213,7.339004,5.5945935,2.6566472,0
12.682045,6.3969812,5.1981177,9.185827,9.157329,5.610934,2.7014267,4.959437,5.8950753,3.8239949,4.573225,3.2177644,4.7160935,4.0838695,3.71443,6.7632723,4.0054092,4.845393,4.1950946,5.347903,3.4243069,4.9954767,4.6649575,6.689428,2.655996,7.2751465,5.6579785,2.576916,1
12.538512,6.4762278,5.248304,9.201452,9.082158,5.660464,2.8272681,4.8766446,5.7557893,3.869314,4.717302,3.2477565,4.730965,4.0951347,3.7314994,6.731552,4.1333385,4.851521,4.277114,5.3927107,3.4770768,4.852575,4.6340795,6.593187,2.791028,7.144783,5.721238,2.6917,2
1.524383,5.7439184,3.7910693,8.45222,6.9761734,6.1742463,4.4330864,4.2304,4.93985,5.997656,5.445387,5.246687,5.1829576,5.598208,4.4167347,4.9912996,6.590789,4.5484324,5.887558,4.2406893,4.991832,5.3637795,4.3016534,5.2630677,4.2378206,5.8354406,5.815735,2.9478424,0
