class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
ten-classes,0.0995260663507109,Spv,True,True,pca,None,1,1024,prajjwal1/bert-tiny,2
ten-classes,0.09004739336492891,Spv,True,True,umap,None,1,1024,prajjwal1/bert-tiny,2
ten-classes,0.15639810426540285,Spv,True,True,pca,None,3,1024,prajjwal1/bert-tiny,2
ten-classes,0.08530805687203792,Spv,True,True,umap,None,3,1024,prajjwal1/bert-tiny,2
ten-classes,0.08056872037914692,Spv,True,True,pca,None,5,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,True,True,umap,None,5,1024,prajjwal1/bert-tiny,2
ten-classes,0.07582938388625593,Spv,True,True,pca,None,7,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,True,True,umap,None,7,1024,prajjwal1/bert-tiny,2
ten-classes,0.06635071090047394,Spv,True,True,pca,None,9,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,True,True,umap,None,9,1024,prajjwal1/bert-tiny,2
ten-classes,0.06635071090047394,Spv,True,True,pca,None,11,1024,prajjwal1/bert-tiny,2
ten-classes,0.11848341232227488,Spv,True,True,umap,None,11,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,True,True,pca,None,13,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,True,True,umap,None,13,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,True,True,pca,None,15,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,True,True,umap,None,15,1024,prajjwal1/bert-tiny,2
ten-classes,0.0947867298578199,Spv,True,False,None,None,75,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,False,True,pca,None,1,1024,prajjwal1/bert-tiny,2
ten-classes,0.07582938388625593,Spv,False,True,umap,None,1,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,False,True,pca,None,3,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,False,True,umap,None,3,1024,prajjwal1/bert-tiny,2
ten-classes,0.08056872037914692,Spv,False,True,pca,None,5,1024,prajjwal1/bert-tiny,2
ten-classes,0.0947867298578199,Spv,False,True,umap,None,5,1024,prajjwal1/bert-tiny,2
ten-classes,0.0947867298578199,Spv,False,True,pca,None,7,1024,prajjwal1/bert-tiny,2
ten-classes,0.0947867298578199,Spv,False,True,umap,None,7,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,False,True,pca,None,9,1024,prajjwal1/bert-tiny,2
ten-classes,0.13270142180094788,Spv,False,True,umap,None,9,1024,prajjwal1/bert-tiny,2
ten-classes,0.10900473933649289,Spv,False,True,pca,None,11,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,False,True,umap,None,11,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,False,True,pca,None,13,1024,prajjwal1/bert-tiny,2
ten-classes,0.0947867298578199,Spv,False,True,umap,None,13,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,False,True,pca,None,15,1024,prajjwal1/bert-tiny,2
ten-classes,0.0995260663507109,Spv,False,True,umap,None,15,1024,prajjwal1/bert-tiny,2
ten-classes,0.10426540284360189,Spv,False,False,None,None,72,1024,prajjwal1/bert-tiny,2
