data_unit,PH2,num_classes,difficulty,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
Spf,False,2,easy,0.9980806142034548,1.0,0.9980799068330992,0.9981203007518797,0.998046875
Spf,False,2,average,1.0,1.0,1.0,1.0,1.0
Spf,False,2,hard,0.9684418145956607,1.0,0.9684387450199203,0.9684650337680122,0.9686838336031884
Spf,False,3,easy,0.9947780678851175,0.6697127937336814,0.9950524477123287,0.994912930207048,0.9952102547211243
Spf,False,3,average,0.9932614555256065,0.6752021563342318,0.993381754418378,0.9937433269271834,0.9930541883604859
Spf,False,3,hard,0.9972222222222222,0.6791666666666667,0.9972719665271966,0.9972719665271966,0.9972719665271966
Spf,False,4,easy,0.9854651162790697,0.502906976744186,0.9854880916902415,0.9854560693558709,0.9855529096340696
Spf,False,4,average,0.983495145631068,0.4883495145631068,0.9838105209959399,0.9836960609897829,0.9839375194986529
Spf,False,4,hard,0.9987063389391979,0.6545924967658473,0.9986678619051944,0.998531571218796,0.9988095238095238
Spf,False,5,easy,0.9934533551554828,0.41898527004909986,0.9933808411256546,0.9933527308841054,0.9934187605930399
Spf,False,5,average,0.9952038369304557,0.38848920863309355,0.9952137471545814,0.9951574054978234,0.9953055960586779
Spf,False,5,hard,0.965625,0.4015625,0.9658428170552252,0.9656454453602834,0.9662995110826736
Spf,False,6,easy,0.995249406175772,0.37133808392715756,0.9953190130833139,0.9954034391534391,0.9952851806510342
Spf,False,6,average,0.9779706275033377,0.3477970627503338,0.9786160141739838,0.9786735340828169,0.9785851572913981
Spf,False,6,hard,0.957592339261286,0.3426812585499316,0.9573410906856198,0.9596496108728715,0.9563120252001198
Spf,False,7,easy,0.9727582292849035,0.293416572077185,0.9734407281441115,0.9732214392244549,0.9737662499519987
Spf,False,7,average,0.9826478149100257,0.33483290488431877,0.9825355447814889,0.982727599778077,0.9824748655914569
Spf,False,7,hard,0.9818902093944539,0.29088851160158463,0.9820238717724542,0.9822835787424575,0.9818938968696479
Spf,False,8,easy,0.978,0.248,0.9782985352659821,0.9783010695730101,0.9784583938341118
Spf,False,8,average,0.9587337478801583,0.2764273600904466,0.9586266131249684,0.9593738036329752,0.9585836076794912
