data_unit,PH2,num_classes,difficulty,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
Spf,False,2,easy,0.9874476987447699,1.0,0.9874256852738464,0.9872720897615708,0.9876140350877193
Spf,False,2,average,0.99609375,1.0,0.9960927960927961,0.9961685823754789,0.9960474308300395
Spf,False,2,hard,0.9748062015503876,1.0,0.974737032392186,0.9743464322803004,0.975312179525849
Spf,False,3,easy,0.9974059662775616,0.6627756160830091,0.9974156662236041,0.9974554707379135,0.997390727124183
Spf,False,3,average,0.9973544973544973,0.6931216931216931,0.9972560288483209,0.9972560288483209,0.9972560288483209
Spf,False,3,hard,0.9857328145265889,0.688715953307393,0.9855107985223075,0.9856174059018796,0.9854229797979798
Spf,False,4,easy,0.9809342230695901,0.5166825548141086,0.9805796080345688,0.9808023666485014,0.980424942643548
Spf,False,4,average,0.9785365853658536,0.49658536585365853,0.9790634250247119,0.9794353059001613,0.9788037998343819
Spf,False,4,hard,0.9929435483870968,0.4848790322580645,0.9930804504924473,0.99312968164794,0.9930350429645542
Spf,False,5,easy,0.9894222945484134,0.39951179820992677,0.9892670307997735,0.9899584440095779,0.9888018986939351
Spf,False,5,average,0.9928571428571429,0.40634920634920635,0.9926483177475349,0.9926663464367935,0.9926661145906065
Spf,False,5,hard,0.9723643807574207,0.2671443193449335,0.9695163611301849,0.9694362608182711,0.9696049161566404
Spf,False,6,easy,0.9710242587601078,0.3463611859838275,0.9708915121196466,0.9711304455460548,0.9708087683272787
Spf,False,6,average,0.9797650130548303,0.33616187989556134,0.9798628603003666,0.9798506247035257,0.9800067807351471
Spf,False,6,hard,0.9592245989304813,0.3181818181818182,0.9568306531918426,0.9581926165069502,0.9567661096997644
Spf,False,7,easy,0.9740932642487047,0.3290155440414508,0.9737872858492546,0.9738461138454128,0.9741943838737804
Spf,False,7,average,0.9817351598173516,0.3139269406392694,0.9819732661270659,0.9819984467415624,0.9820503992630822
Spf,False,7,hard,0.9794871794871794,0.2945868945868946,0.9794065089459466,0.9793217101208135,0.9795850277398932
Spf,False,8,easy,0.9693675889328063,0.24851778656126483,0.9699462963805069,0.9697665115247178,0.9702559713785539
Spf,False,8,average,0.9686552072800809,0.26188068756319516,0.9679517049147759,0.9685512756363581,0.9677266069467843
Spf,False,8,hard,0.978900883218842,0.24386653581943082,0.9792419727940859,0.979376346213567,0.9792950385923964
Spf,False,9,easy,0.978583916083916,0.2215909090909091,0.9782083699062807,0.9783861560110554,0.978130927979559
Spf,False,9,average,0.9665178571428571,0.21428571428571427,0.9670033266532416,0.9672561296752787,0.9671246391825823
Spf,False,9,hard,0.9585537918871252,0.22354497354497355,0.9579445911724531,0.958513526089907,0.957778112145361
Spf,False,10,easy,0.9536243180046765,0.19173811379579112,0.9533883299886098,0.9534707110094252,0.9536846446114833
Spf,False,10,average,0.9589257503949447,0.1891785150078989,0.9590699657106907,0.9589501265775391,0.9596274778802902
Spf,False,10,hard,0.9625541978715018,0.21639731966890027,0.9632835033647176,0.9631100373214148,0.9636161467373722
Spf,False,11,easy,0.9660347551342812,0.18878357030015797,0.966282274508529,0.9660109065601754,0.9666592460175103
Spf,False,11,average,0.9662799129804206,0.18745467730239304,0.9661857286870054,0.9664973353188473,0.9660469559955576
Spf,False,11,hard,0.9684782608695652,0.17753623188405798,0.9685477008495119,0.9687869831066415,0.9685976506886043
Spf,False,12,easy,0.9520860495436767,0.1623207301173403,0.951952941862917,0.951878293442591,0.9522636057732097
Spf,False,12,average,0.9666448659254414,0.17266187050359713,0.9670345867530518,0.967458537297396,0.9672335322431388
Spf,False,12,hard,0.9629629629629629,0.17010816125860373,0.9627421195696823,0.9626531947537792,0.9629904204992981
Spf,False,13,easy,0.9640353550746723,0.157269125266687,0.9643357628334738,0.9642249431734082,0.964961039553123
Spf,False,13,average,0.9470462197734925,0.15977961432506887,0.9474527817139765,0.9476413560470976,0.9478507624772118
Spf,False,13,hard,0.9537065052950076,0.1600605143721634,0.9533123825223383,0.9538180655866372,0.9532860613693229
Spf,False,14,easy,0.9647455548743102,0.15695892090741875,0.9648120740131384,0.9648854715471761,0.9651016887149493
Spf,False,14,average,0.9657320872274143,0.12234494477485132,0.966559600741453,0.96652532149984,0.9669169254630529
Spf,False,14,hard,0.9619076184763048,0.15446910617876425,0.9619257963962172,0.9618725196809984,0.9620966989154792
Spf,False,15,easy,0.9633971975979411,0.14383757506434086,0.9625426223152612,0.9629466577624323,0.9624733160722049
Spf,False,15,average,0.9466780724265754,0.13829483889364128,0.9463297445703386,0.946766709879162,0.9462400610971361
Spf,False,15,hard,0.9468029350104822,0.14177148846960166,0.9467986041517665,0.9472045699476921,0.9467620005858581
Spf,False,16,easy,0.9644184811471057,0.1332979288369623,0.9644388726730325,0.9649149628815843,0.96440469110583
Spf,False,16,average,0.9516526887025161,0.13172175629008387,0.951133841501558,0.9514671639924506,0.9510164386623725
Spf,False,16,hard,0.9553500660501981,0.14346103038309116,0.9549150461129582,0.9553260452665432,0.9549521372080663
Spf,False,17,easy,0.9535538353272344,0.12221440300258034,0.9530642923542904,0.9532144322900525,0.9531354880987921
